name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
Xymenes Pretor,2019-08-07,"Organisation, Ambitious","Selfish, Sensitive, Intolerant",True,True,True,Pass,Engineering,,1.0,,1.0,,3.0,,,
Heinrik Allwell,2019-08-08,"Collaboration, Efficient, Organisation","Critical, Competitive",True,True,True,Pass,Business,,2.0,,,,,,1.0,
Bob Rogerson,2019-08-07,Efficient,"Stubborn, Introverted",True,True,True,Pass,Data,1.0,2.0,,3.0,4.0,,1.0,6.0,
Neall Mayor,2019-08-07,"Independent, Competitive, Consistent",Overbearing,True,True,False,Fail,Data,1.0,3.0,1.0,,,4.0,,,2.0
Ilysa Kiggel,2019-08-07,Consistent,"Slow, Indecisive, Undisciplined",True,True,True,Pass,Data,2.0,,,,4.0,,,,3.0
Melisse Craze,2019-08-20,"Rational, Courteous, Efficient",Selfish,True,True,True,Fail,Data,5.0,5.0,,,3.0,4.0,,,
Petronille Dougharty,2019-08-29,"Courteous, Passionate","Introverted, Immature, Sensitive",False,True,True,Fail,Business,,6.0,,4.0,,,,,
Urbano Reinisch,2019-08-13,"Courteous, Ambitious, Organisation","Immature, Perfectionist, Distracted",True,True,True,Pass,Engineering,,3.0,,,1.0,,,3.0,
Noami Edworthye,2019-08-20,"Collaboration, Patient, Determined",Impatient,False,True,True,Fail,Business,4.0,2.0,2.0,3.0,3.0,,2.0,,
Cynthia Jenny,2019-08-06,"Ambitious, Empathy","Immature, Conventional",True,False,True,Fail,Business,2.0,,,4.0,,,4.0,,
Ivett Prop,2019-08-22,"Organisation, Altruism","Distracted, Immature, Overbearing",True,True,True,Pass,Business,1.0,1.0,,3.0,,,,,
Lamond Levensky,2019-08-13,Problem Solving,"Anxious, Impatient, Sensitive",True,True,True,Pass,Data,1.0,1.0,,6.0,6.0,,,,
Estevan Bartalini,2019-08-21,"Altruism, Rational, Collaboration",Stubborn,True,True,True,Pass,Engineering,,,1.0,,2.0,,,4.0,3.0
Redford Bubbings,2019-08-15,"Rational, Curious, Courteous",Procrastination,False,True,True,Fail,Engineering,,4.0,2.0,,,,1.0,,
Brandais Reiner,2019-08-22,"Ambitious, Determined",Indecisive,True,True,True,Pass,Business,,,3.0,1.0,,,,,1.0
Correy Clemont,2019-08-28,Versatile,"Conventional, Overbearing",True,False,True,Fail,Data,,1.0,,,,,,,
Starr Curcher,2019-08-15,Consistent,Indifferent,True,False,True,Fail,Business,,,4.0,4.0,1.0,,3.0,,
Rosaline Goldsmith,2019-08-21,Empathy,"Selfish, Immature",True,True,True,Pass,Engineering,,,,,,3.0,,4.0,
Chancey Climer,2019-08-27,"Versatile, Critical Thinking","Critical, Distracted, Perfectionist",True,True,True,Pass,Business,4.0,,,,1.0,2.0,,2.0,1.0
Gena Humbles,2019-08-29,"Collaboration, Perfectionism, Independent","Stubborn, Conventional",True,True,True,Pass,Engineering,,,1.0,,,1.0,,,
Madeleine Younglove,2019-08-06,Organisation,Controlling,True,False,True,Fail,Engineering,,,,2.0,,4.0,7.0,1.0,
Leonerd Scamel,2019-08-08,Efficient,Controlling,False,True,True,Fail,Engineering,,,,,5.0,,,,4.0
Balduin Culleton,2019-08-13,Courteous,"Chaotic, Perfectionist, Critical",True,True,True,Fail,Data,,,2.0,6.0,5.0,,,,
Oliy Ellar,2019-08-13,"Rational, Courteous","Perfectionist, Distracted",True,True,False,Fail,Engineering,,4.0,,7.0,,,,3.0,
Carena Nizet,2019-08-08,Empathy,Immature,True,True,True,Pass,Engineering,2.0,5.0,3.0,5.0,,,,,1.0
Theo Ottee,2019-08-21,"Perfectionism, Innovative, Creative","Intolerant, Chatty, Perfectionist",True,True,True,Pass,Engineering,,,,,,,,2.0,
Britt Summergill,2019-08-28,Curious,"Introverted, Impatient, Stubborn",True,True,True,Pass,Data,,,2.0,,,,,,
Nial Oret,2019-08-13,Versatile,"Passive, Impatient, Introverted",True,False,True,Fail,Data,2.0,4.0,,1.0,,,4.0,,1.0
Pegeen O'Lochan,2019-08-15,"Independent, Patient, Passionate",Sensitive,True,True,False,Fail,Business,,2.0,2.0,,,,3.0,1.0,1.0
Kingsley Hardaker,2019-08-28,Altruism,Slow,True,True,True,Pass,Business,,,,,,,,,1.0
Lorine Bignall,2019-08-01,Listening,Stubborn,True,True,True,Fail,Business,,,,,,2.0,,1.0,
Christian Bingley,2019-08-13,"Independent, Listening","Anxious, Introverted, Conventional",True,True,True,Pass,Data,,,,4.0,,,,,
Ad Do,2019-08-21,"Curious, Ambitious, Patient",Perfectionist,True,True,True,Pass,Engineering,5.0,1.0,1.0,,,1.0,,,
Beret Devonside,2019-08-15,Listening,"Undisciplined, Indifferent, Immature",True,True,False,Fail,Business,,,,6.0,,3.0,,,1.0
Denyse Weth,2019-08-22,"Patient, Competitive",Perfectionist,True,True,True,Pass,Business,,,,,,,,2.0,
Deirdre Van Den Velde,2019-08-01,Perfectionism,Competitive,True,True,True,Pass,Engineering,3.0,,,,,,3.0,,3.0
Bevon Mustill,2019-08-15,"Perfectionism, Competitive","Chaotic, Competitive, Controlling",False,False,True,Fail,Engineering,1.0,1.0,2.0,,2.0,1.0,5.0,4.0,
Ruthe Adolthine,2019-08-01,"Charisma, Creative, Curious","Selfish, Immature",True,True,False,Fail,Data,6.0,,,,,2.0,,,
Vaughn Wallington,2019-08-27,Curious,"Introverted, Sensitive, Chaotic",True,True,True,Pass,Business,,,,7.0,3.0,,,,
Matty Ceney,2019-08-08,"Ambitious, Patient","Procrastination, Passive, Slow",True,True,True,Pass,Engineering,3.0,2.0,,5.0,,2.0,,2.0,
Rubia Espy,2019-08-08,"Determined, Collaboration","Critical, Anxious",True,True,True,Pass,Business,,1.0,,,1.0,,,,
Meridel Dearell,2019-08-21,"Curious, Perfectionism","Anxious, Procrastination",True,True,True,Pass,Data,,,,,,5.0,1.0,,
Noelyn Sinkin,2019-08-21,"Determined, Patient, Critical Thinking","Indifferent, Slow",True,True,True,Pass,Business,,,,,2.0,4.0,,,
Mozelle Grinnov,2019-08-20,"Courteous, Patient","Passive, Chatty",True,True,True,Pass,Engineering,,,,,3.0,,1.0,,
Christyna Arkill,2019-08-21,Courteous,Conventional,True,True,True,Pass,Data,2.0,,6.0,3.0,,6.0,,2.0,
Kain Lowne,2019-08-29,"Organisation, Empathy, Innovative",Anxious,True,True,True,Pass,Data,4.0,4.0,,3.0,4.0,,5.0,,2.0
Mitchel Blackesland,2019-08-14,"Determined, Critical Thinking, Ambitious","Impatient, Intolerant, Undisciplined",True,True,True,Pass,Data,,5.0,,7.0,3.0,,3.0,,2.0
Albie Lyon,2019-08-22,"Problem Solving, Patient, Ambitious","Controlling, Slow, Indecisive",True,True,True,Pass,Data,4.0,,4.0,5.0,,,,,1.0
Farand Rotlauf,2019-08-20,Perfectionism,Selfish,True,True,True,Pass,Engineering,6.0,7.0,6.0,1.0,,,,6.0,
Bo Fargie,2019-08-28,Altruism,Impatient,True,True,True,Pass,Engineering,,,,,5.0,4.0,2.0,2.0,
Arch Cookley,2019-08-20,"Innovative, Listening, Courteous","Competitive, Overbearing",True,False,True,Fail,Engineering,,,,3.0,3.0,1.0,6.0,,
Martica Cawse,2019-08-08,Creative,"Introverted, Overbearing",True,True,True,Pass,Engineering,,,,,,,,1.0,1.0
Nancie Mehaffey,2019-08-08,"Efficient, Independent, Critical Thinking","Intolerant, Selfish, Passive",True,True,True,Pass,Data,,,,,,6.0,6.0,3.0,
Donnamarie Schofield,2019-08-15,Ambitious,Passive,True,True,True,Pass,Data,3.0,,,,2.0,4.0,5.0,,
Erda Liddel,2019-08-06,Altruism,Anxious,True,False,True,Fail,Business,,,,2.0,,3.0,,,
Alister Bru,2019-08-07,"Organisation, Composure, Reliable","Critical, Distracted, Introverted",True,True,True,Pass,Engineering,,,,,,,,,
Sigismund Izkovici,2019-08-15,"Problem Solving, Charisma, Collaboration",Overbearing,True,True,True,Pass,Engineering,,1.0,,,,,,,2.0
Star Jurges,2019-08-01,"Patient, Listening","Competitive, Impatient",True,True,True,Pass,Data,6.0,,,,1.0,,,5.0,
Pauly Gillbee,2019-08-28,"Problem Solving, Listening",Stubborn,True,True,True,Pass,Business,,,,,2.0,,3.0,,
Stan Forkan,2019-08-01,"Creative, Versatile","Chatty, Procrastination, Chaotic",True,True,True,Fail,Data,1.0,,,,,,4.0,,
Brinn Trewhela,2019-08-06,"Consistent, Altruism","Slow, Indifferent, Anxious",True,True,True,Pass,Business,4.0,,,,,1.0,,3.0,2.0
Rodrigo Endrighi,2019-08-14,Competitive,"Competitive, Impulsive, Conventional",True,True,True,Pass,Data,3.0,1.0,2.0,,,2.0,,1.0,
Tansy Dukelow,2019-08-20,"Altruism, Curious","Procrastination, Indifferent",True,False,True,Fail,Engineering,3.0,,,,2.0,3.0,,,2.0
Sean Ovise,2019-08-27,Problem Solving,Conventional,True,True,True,Pass,Engineering,,2.0,,,1.0,4.0,,,
Anselma Pawlett,2019-08-21,Innovative,"Selfish, Immature",True,True,True,Pass,Data,,,1.0,4.0,1.0,5.0,,,
Kerrie Rosi,2019-08-22,"Empathy, Independent, Critical Thinking","Competitive, Conventional",True,True,True,Pass,Business,7.0,,4.0,,,,,1.0,
Dorothy Hailwood,2019-08-15,Versatile,Introverted,True,False,True,Fail,Business,5.0,1.0,2.0,7.0,,4.0,5.0,1.0,
Jodie Kaygill,2019-08-01,"Consistent, Altruism","Competitive, Overbearing, Selfish",True,True,True,Pass,Data,1.0,,3.0,,1.0,2.0,,1.0,2.0
Jim Dwerryhouse,2019-08-27,Problem Solving,"Perfectionist, Sensitive",True,True,True,Pass,Business,2.0,3.0,,,3.0,,,,
Delinda Conybear,2019-08-01,"Passionate, Organisation, Critical Thinking","Procrastination, Controlling, Sensitive",True,True,True,Pass,Data,,,,,3.0,,2.0,,3.0
Norby Burle,2019-08-21,"Competitive, Versatile",Overbearing,False,False,True,Fail,Business,,,5.0,,3.0,,5.0,,
Robinet Renwick,2019-08-15,Courteous,"Procrastination, Distracted, Indifferent",True,True,True,Pass,Business,1.0,4.0,,,2.0,,,,
Perry Richemond,2019-08-08,"Problem Solving, Rational","Perfectionist, Overbearing, Critical",True,True,True,Pass,Data,1.0,,,5.0,,,,,4.0
Carlyn Reisin,2019-08-14,"Consistent, Creative, Organisation","Immature, Impatient, Sensitive",True,True,True,Pass,Business,1.0,4.0,,2.0,5.0,5.0,2.0,3.0,
Horatius Starking,2019-08-08,Consistent,"Selfish, Introverted, Slow",True,True,False,Fail,Business,3.0,,,2.0,,5.0,,,1.0
Leoline Vigietti,2019-08-07,"Determined, Patient","Intolerant, Immature",True,True,True,Pass,Business,,,1.0,,,,,,1.0
Rudolf Maple,2019-08-21,Listening,"Chatty, Intolerant, Passive",True,True,True,Pass,Data,,,,,4.0,,,,
Alwin Bullman,2019-08-07,"Charisma, Perfectionism, Rational",Controlling,True,True,True,Pass,Data,,2.0,,,4.0,2.0,2.0,2.0,
Shae Ainslie,2019-08-15,Innovative,"Chaotic, Slow",True,True,True,Pass,Business,3.0,,3.0,,3.0,4.0,4.0,4.0,
Ciel Poizer,2019-08-14,"Listening, Curious","Sensitive, Conventional, Immature",False,True,True,Fail,Business,5.0,,,,,,,2.0,
Matteo Yeowell,2019-08-01,"Versatile, Empathy","Overbearing, Sensitive, Selfish",True,True,True,Pass,Business,,,4.0,,,6.0,2.0,,3.0
Saundra Fuzzens,2019-08-28,"Passionate, Efficient, Charisma","Procrastination, Slow, Overbearing",True,True,True,Fail,Business,3.0,,5.0,,6.0,,3.0,,
Denise Oppy,2019-08-21,"Courteous, Independent",Sensitive,True,True,True,Pass,Engineering,4.0,,6.0,7.0,,,,,2.0
Didi Stronough,2019-08-29,Reliable,"Slow, Anxious",True,True,True,Pass,Engineering,2.0,,,,1.0,,,,
Tarrah Bunny,2019-08-07,Altruism,"Perfectionist, Distracted",True,True,True,Pass,Business,6.0,,,,,,,,
Bondon Josselson,2019-08-15,Innovative,"Introverted, Chatty",True,False,True,Fail,Engineering,,2.0,6.0,,,,,,
Denny Begg,2019-08-08,"Altruism, Charisma",Introverted,True,True,True,Pass,Data,6.0,7.0,,,2.0,,4.0,3.0,4.0
Clim Lovie,2019-08-29,"Creative, Empathy","Undisciplined, Slow",True,True,True,Fail,Business,,,,3.0,,,1.0,,
Wolf Radolf,2019-08-08,"Listening, Determined","Indifferent, Chatty",True,True,True,Pass,Engineering,4.0,3.0,2.0,,,,1.0,4.0,
Ferrel Lissandrini,2019-08-29,"Creative, Ambitious",Slow,True,True,True,Fail,Business,,,2.0,,2.0,,,,
Carlos Gerckens,2019-08-01,"Collaboration, Ambitious","Intolerant, Stubborn, Anxious",True,True,True,Pass,Data,,4.0,,7.0,,1.0,,,
Blake Nunson,2019-08-01,"Reliable, Determined","Competitive, Indifferent, Controlling",True,True,True,Pass,Engineering,,1.0,,,1.0,3.0,,,
Paula Danielsen,2019-08-22,"Altruism, Listening, Problem Solving",Impulsive,True,True,False,Fail,Business,,2.0,,,,3.0,1.0,,2.0
Brose Menghi,2019-08-06,"Rational, Listening, Organisation","Passive, Slow",True,True,True,Pass,Engineering,3.0,3.0,,,,,,,
Junia Collins,2019-08-29,"Composure, Collaboration",Slow,True,True,True,Pass,Data,,4.0,,,2.0,,,,1.0
Jule Corke,2019-08-29,"Listening, Reliable, Passionate",Undisciplined,True,True,False,Fail,Engineering,1.0,1.0,2.0,,1.0,,,,
Matteo Cornewell,2019-08-27,Composure,"Impatient, Undisciplined",True,True,True,Pass,Business,,1.0,,,,,,,
Sid Libbie,2019-08-01,"Competitive, Ambitious","Chaotic, Sensitive",True,True,False,Fail,Engineering,,,,2.0,,1.0,3.0,,
Rhody Cushion,2019-08-27,"Listening, Reliable, Efficient","Passive, Introverted",True,True,True,Pass,Business,2.0,8.0,,,,,,1.0,
Chester Hanselmann,2019-08-07,Creative,"Passive, Controlling",True,True,False,Fail,Data,,1.0,1.0,,4.0,2.0,5.0,2.0,3.0
Courtney Wenman,2019-08-28,"Composure, Innovative","Passive, Indifferent, Competitive",False,True,True,Fail,Engineering,,2.0,2.0,,,1.0,1.0,1.0,5.0
Vaclav Ortler,2019-08-20,Composure,"Indifferent, Undisciplined",True,True,True,Pass,Data,,,,,1.0,4.0,1.0,3.0,
Mariquilla Cowope,2019-08-14,Rational,"Impulsive, Anxious, Sensitive",True,True,True,Fail,Business,,2.0,,,,,,3.0,1.0
Joey Macgeffen,2019-08-14,Organisation,"Intolerant, Overbearing",True,True,True,Pass,Data,,,,,4.0,,,,
Cora Klausewitz,2019-08-15,"Problem Solving, Competitive, Versatile","Slow, Sensitive, Intolerant",True,True,True,Pass,Data,3.0,5.0,3.0,3.0,,5.0,1.0,,
Gris Brame,2019-08-14,"Consistent, Innovative, Rational","Slow, Anxious",True,True,False,Fail,Business,,1.0,4.0,,,4.0,3.0,,
Berty Huban,2019-07-18,"Competitive, Listening","Passive, Anxious",True,True,True,Pass,Business,2.0,,,,,,,,
Matthieu Dulake,2019-07-31,"Collaboration, Creative, Rational",Introverted,True,True,True,Pass,Engineering,,1.0,,,,4.0,,,
Darwin Sambiedge,2019-07-10,"Altruism, Efficient, Critical Thinking",Passive,True,True,True,Fail,Data,,,,,3.0,5.0,1.0,,3.0
Sim Bacchus,2019-07-23,Passionate,"Procrastination, Stubborn, Critical",True,True,True,Pass,Data,,,,,,,,,6.0
Anabal Teese,2019-07-09,"Curious, Passionate, Listening","Selfish, Intolerant, Anxious",True,False,True,Fail,Business,,2.0,,,,7.0,,,1.0
Sybila Bragge,2019-07-23,"Courteous, Altruism, Independent","Passive, Procrastination, Introverted",True,False,True,Fail,Data,,9.0,2.0,,2.0,,,,5.0
Donalt Gummoe,2019-07-16,"Independent, Problem Solving, Passionate","Conventional, Introverted, Sensitive",False,True,True,Fail,Data,,,3.0,,5.0,4.0,2.0,,
Romola Coldtart,2019-07-17,Reliable,"Sensitive, Impulsive, Conventional",True,True,True,Pass,Data,1.0,4.0,,,2.0,,,,1.0
Shea Chasmoor,2019-07-17,"Empathy, Consistent, Patient","Passive, Impulsive, Stubborn",True,True,True,Fail,Business,,,2.0,,1.0,,,,4.0
Nora Akers,2019-07-24,Organisation,"Impatient, Sensitive, Undisciplined",True,True,True,Pass,Engineering,,3.0,4.0,,1.0,,,,
Sander Rewbottom,2019-07-25,"Altruism, Problem Solving, Listening","Sensitive, Slow",True,True,True,Pass,Data,2.0,,,4.0,2.0,5.0,1.0,,
Francklyn Leyninye,2019-07-24,"Problem Solving, Passionate, Altruism","Selfish, Passive",True,True,True,Pass,Business,2.0,1.0,3.0,1.0,,,2.0,1.0,
Julissa Dumbleton,2019-07-24,Courteous,"Critical, Intolerant, Controlling",True,True,True,Pass,Data,,2.0,,,4.0,,5.0,,
Zacharias Restorick,2019-07-11,Curious,Intolerant,True,True,True,Pass,Business,,,2.0,,,,5.0,,
Andriana Uc,2019-07-02,Problem Solving,Impatient,True,True,True,Pass,Business,1.0,,5.0,,,,,,1.0
Benita Enefer,2019-07-11,"Empathy, Organisation",Distracted,True,True,True,Pass,Data,,,,,,2.0,,1.0,
Isacco Teese,2019-07-02,"Versatile, Critical Thinking","Indifferent, Immature, Stubborn",True,True,True,Pass,Business,,,,2.0,,8.0,2.0,,
Farlee Baalham,2019-07-16,"Determined, Critical Thinking",Overbearing,True,False,True,Fail,Data,,,,3.0,,,6.0,,1.0
Zsa Zsa Rounsefull,2019-07-16,"Problem Solving, Reliable, Charisma","Immature, Undisciplined, Passive",True,True,True,Fail,Data,,,,,,,,,2.0
Amanda Minto,2019-07-18,Determined,"Impulsive, Indecisive, Perfectionist",False,True,True,Fail,Business,,,,,,6.0,,,4.0
Annie Ibbotson,2019-07-25,"Independent, Competitive",Indifferent,True,False,True,Fail,Business,,2.0,,,,,,,
Roana Sanger,2019-07-11,"Rational, Composure",Impatient,True,False,True,Fail,Business,,1.0,3.0,,2.0,,,,1.0
Elise Soppeth,2019-07-24,Critical Thinking,"Conventional, Chaotic",True,True,True,Pass,Data,1.0,2.0,,1.0,4.0,9.0,,,
Betty Lamlin,2019-07-10,"Problem Solving, Ambitious, Perfectionism",Chaotic,False,True,True,Fail,Data,,,,,5.0,,3.0,4.0,
Verena Townes,2019-07-16,Critical Thinking,Procrastination,True,True,True,Pass,Business,,,1.0,,1.0,2.0,1.0,,1.0
Constance Fellibrand,2019-07-09,Innovative,"Indifferent, Immature",True,True,True,Pass,Engineering,,,2.0,,,,2.0,5.0,1.0
Joannes Yurshev,2019-07-18,"Determined, Curious","Slow, Undisciplined",True,True,True,Pass,Business,,1.0,,1.0,,,,2.0,1.0
Brunhilde Zellick,2019-07-03,"Creative, Perfectionism, Consistent","Chaotic, Undisciplined",True,True,True,Pass,Engineering,,2.0,,,,,,1.0,
Mathilde Keppin,2019-07-02,"Creative, Efficient, Ambitious","Indifferent, Selfish, Overbearing",True,True,True,Pass,Engineering,,4.0,,,2.0,3.0,1.0,3.0,
Aili Bursnoll,2019-07-30,"Ambitious, Passionate",Intolerant,True,False,True,Fail,Engineering,5.0,,2.0,,,,,,
Kerr Allanson,2019-07-24,"Curious, Composure, Independent","Procrastination, Conventional, Chaotic",False,True,True,Fail,Data,2.0,,3.0,,,,,,
Eldin Broster,2019-07-17,"Creative, Innovative","Controlling, Stubborn, Slow",True,True,True,Fail,Data,4.0,,3.0,,,2.0,,,
Cherrita Mcgilleghole,2019-07-11,"Efficient, Empathy, Curious","Indifferent, Slow, Stubborn",True,True,True,Pass,Engineering,,,2.0,10.0,,,,3.0,
Ortensia Winscomb,2019-07-11,"Versatile, Competitive, Rational","Slow, Introverted, Procrastination",True,True,True,Pass,Data,,,6.0,1.0,,,4.0,,
Fleming Mcmurdo,2019-07-09,Organisation,Impatient,True,False,True,Fail,Data,5.0,2.0,3.0,3.0,,2.0,,,2.0
Brigid Blabber,2019-07-23,"Problem Solving, Innovative, Critical Thinking","Selfish, Introverted, Stubborn",True,True,True,Pass,Business,6.0,,3.0,,,,2.0,1.0,
Ludvig Grzes,2019-07-16,"Organisation, Collaboration, Altruism","Procrastination, Immature, Impatient",True,True,True,Pass,Data,,3.0,,,,,1.0,,
Hurley Collyer,2019-07-24,Perfectionism,"Chaotic, Slow, Chatty",True,False,True,Fail,Engineering,,,,,,,3.0,,
Kitty Allen,2019-07-02,"Determined, Creative",Sensitive,True,True,True,Pass,Business,5.0,4.0,3.0,,5.0,,,,
Bary Fendlen,2019-07-18,Listening,Immature,True,True,True,Fail,Business,,1.0,,1.0,4.0,3.0,3.0,,2.0
Horten Goble,2019-07-24,"Courteous, Critical Thinking, Innovative",Immature,True,True,True,Pass,Business,4.0,1.0,,,,,,1.0,
Natassia Pawle,2019-07-03,"Altruism, Empathy, Perfectionism","Intolerant, Impulsive, Passive",True,True,True,Pass,Engineering,1.0,5.0,,3.0,3.0,,,,
Karoly Skates,2019-07-16,"Determined, Critical Thinking",Competitive,True,True,True,Pass,Engineering,,4.0,,,5.0,2.0,4.0,1.0,2.0
Albina Alves,2019-07-02,"Altruism, Creative, Problem Solving","Selfish, Procrastination",True,True,True,Pass,Business,,1.0,,,2.0,,1.0,,1.0
Evered Giovanizio,2019-07-04,"Competitive, Listening","Chaotic, Intolerant, Undisciplined",False,True,True,Fail,Business,,,5.0,,6.0,2.0,,,
Elliot Yarnley,2019-07-23,"Collaboration, Consistent","Sensitive, Chatty, Distracted",True,True,True,Fail,Engineering,,3.0,,8.0,,,,5.0,
Vanessa Gives,2019-07-30,Perfectionism,"Chatty, Critical",False,True,True,Fail,Data,,,3.0,1.0,5.0,,,,1.0
Fremont Oxlee,2019-07-18,"Independent, Collaboration, Creative","Slow, Conventional, Competitive",True,True,True,Fail,Business,,1.0,,,,3.0,1.0,,2.0
Fan Hember,2019-07-04,"Determined, Independent, Courteous","Passive, Impatient",True,False,True,Fail,Business,5.0,1.0,,,,,,,
Fee Karpe,2019-07-17,"Creative, Efficient","Procrastination, Perfectionist",True,True,True,Pass,Data,,2.0,,,7.0,,2.0,,
Katrine Westley,2019-07-24,Perfectionism,"Chaotic, Competitive",True,False,True,Fail,Engineering,3.0,,,,,,,3.0,
Quill Tompkinson,2019-07-10,Courteous,"Indecisive, Critical",True,True,True,Fail,Data,2.0,,,,2.0,,5.0,,2.0
Donavon Glazebrook,2019-07-23,"Altruism, Collaboration, Composure","Slow, Intolerant, Stubborn",True,True,True,Pass,Business,,2.0,,,,,,,
Gisele Beetham,2019-07-25,"Independent, Problem Solving","Indifferent, Chaotic, Sensitive",False,False,True,Fail,Data,3.0,,,3.0,,,3.0,,
Hilliard Reinard,2019-07-18,Problem Solving,"Passive, Undisciplined",True,True,True,Pass,Engineering,,,,,,,,5.0,2.0
Ira Rathbourne,2019-07-18,"Patient, Ambitious, Passionate","Competitive, Controlling, Slow",True,True,True,Pass,Data,,,,,,5.0,,3.0,
Shaun Dowley,2019-07-10,Determined,Indecisive,True,True,False,Fail,Business,,3.0,2.0,,2.0,,,,2.0
Hartwell Silver,2019-07-30,"Determined, Listening","Chaotic, Competitive",True,True,True,Pass,Engineering,,6.0,5.0,,,,,,3.0
Shoshanna Janicek,2019-07-18,Rational,"Intolerant, Impulsive",True,True,True,Pass,Engineering,,2.0,,,3.0,4.0,,,
Ingrid Cradick,2019-07-24,"Determined, Passionate","Overbearing, Conventional",True,False,True,Fail,Data,,,,1.0,5.0,2.0,,2.0,1.0
Chevy Pyburn,2019-07-02,"Perfectionism, Patient, Organisation","Overbearing, Stubborn",True,True,True,Pass,Engineering,1.0,,,1.0,,,,,
Bertram Esgate,2019-07-30,"Independent, Composure, Altruism","Selfish, Chatty, Controlling",True,True,True,Pass,Data,4.0,,3.0,2.0,,,,1.0,
Larisa Warrington,2019-07-02,"Independent, Consistent","Distracted, Anxious",False,True,True,Fail,Business,,3.0,,,2.0,,,,
Lissa Pumfrett,2019-07-11,"Empathy, Perfectionism",Impulsive,True,True,True,Pass,Data,,,,,,4.0,,,
Demetrius Dunbavin,2019-07-02,"Versatile, Passionate, Efficient","Stubborn, Passive",True,True,True,Pass,Business,,,1.0,,,,,1.0,
Morgen Lilywhite,2019-07-09,"Composure, Versatile, Problem Solving","Impatient, Immature, Selfish",True,True,True,Pass,Data,,,,,,,,,
Rickard Blakes,2019-07-09,"Collaboration, Empathy","Undisciplined, Indecisive, Distracted",True,True,True,Pass,Engineering,,,3.0,3.0,,,8.0,1.0,1.0
Emily Barras,2019-07-30,Altruism,"Conventional, Indifferent, Impatient",True,True,True,Pass,Business,,,,,,,2.0,1.0,
Tonye Ambrogio,2019-07-18,Listening,"Critical, Procrastination",True,True,True,Pass,Data,5.0,4.0,,3.0,,5.0,,,1.0
Robers Gentner,2019-07-09,Perfectionism,"Anxious, Conventional",True,True,True,Fail,Data,,2.0,,,,1.0,,,6.0
Kellyann Yorkston,2019-07-16,Courteous,"Intolerant, Controlling",True,True,False,Fail,Data,,3.0,,,3.0,1.0,4.0,2.0,2.0
Olly Mougenel,2019-07-16,"Problem Solving, Perfectionism","Perfectionist, Slow, Undisciplined",True,True,False,Fail,Business,,3.0,7.0,,,2.0,2.0,2.0,1.0
Merrill Mckie,2019-07-23,"Versatile, Ambitious","Perfectionist, Intolerant, Overbearing",True,True,True,Pass,Business,,,5.0,1.0,2.0,4.0,,,5.0
Kass Castellan,2019-07-03,"Creative, Listening",Indecisive,True,True,True,Pass,Engineering,4.0,,,,,,3.0,,
Marlon Reside,2019-07-30,"Courteous, Altruism",Undisciplined,True,True,True,Pass,Data,,,,3.0,,,,4.0,
Oswald Lyndon,2019-07-10,"Competitive, Independent","Procrastination, Impatient",True,True,True,Pass,Engineering,,,9.0,5.0,,3.0,,4.0,
Arty Indruch,2019-07-02,"Courteous, Patient, Creative",Intolerant,True,True,True,Pass,Business,3.0,4.0,6.0,,,3.0,5.0,2.0,
Sharl Shambrooke,2019-07-04,"Innovative, Reliable, Curious",Undisciplined,True,True,True,Fail,Engineering,9.0,,2.0,,4.0,,1.0,,
Antonius Heape,2019-07-17,Ambitious,Procrastination,True,True,True,Pass,Engineering,2.0,,,,2.0,,8.0,,
Rad Bench,2019-07-17,"Independent, Critical Thinking, Ambitious","Indecisive, Selfish",True,True,True,Pass,Data,,,2.0,,,,1.0,,2.0
Agace O'Shields,2019-07-30,"Collaboration, Innovative","Undisciplined, Immature, Passive",True,True,True,Pass,Business,,,,,,,,1.0,1.0
Mela Burgill,2019-07-09,"Altruism, Organisation, Collaboration",Distracted,True,True,True,Pass,Business,,,,,,1.0,,3.0,
Justis Gilham,2019-07-25,"Altruism, Competitive, Critical Thinking","Competitive, Procrastination",True,True,True,Pass,Engineering,,,,6.0,2.0,,,3.0,4.0
Valery Delia,2019-07-24,"Composure, Rational",Anxious,False,True,True,Fail,Engineering,,2.0,3.0,,,2.0,,3.0,
Kylie Cordell,2019-07-18,Competitive,"Chaotic, Impulsive, Critical",True,True,True,Pass,Business,3.0,,,,,,,,
Emmett Stogill,2019-07-17,"Consistent, Perfectionism","Chaotic, Introverted",True,True,False,Fail,Engineering,1.0,,4.0,,6.0,,,,
Julianne Neagle,2019-07-09,"Perfectionism, Rational",Procrastination,True,True,True,Fail,Engineering,,2.0,,,5.0,1.0,7.0,,
Cobbie Wolfinger,2019-07-30,"Passionate, Organisation","Perfectionist, Immature, Indifferent",False,True,True,Fail,Data,1.0,,,,,,,2.0,
Blondy Fearnall,2019-07-04,"Efficient, Innovative",Introverted,True,True,True,Pass,Engineering,3.0,4.0,,4.0,4.0,,,,
Bowie Endersby,2019-07-16,Efficient,Indifferent,True,True,True,Pass,Data,1.0,,,,,,,,
