,name,date,strengths,weaknesses,self_development,geo_flex,financial_support_self,result,course_interest,tech_self_score_CSharp,tech_self_score_Java,tech_self_score_R,tech_self_score_JavaScript,tech_self_score_Python,tech_self_score_C++,tech_self_score_Ruby,tech_self_score_SPSS,tech_self_score_PHP
190,Dodie Lassells,2019-08-27,Critical Thinking,"Stubborn, Immature",True,True,True,Pass,Data,,1.0,2.0,2.0,2.0,3.0,2.0,,
191,Corie Snodin,2019-08-22,"Reliable, Determined, Consistent","Anxious, Conventional",True,True,False,Fail,Data,1.0,,,3.0,,4.0,,1.0,
192,Arron Cuerdall,2019-08-08,"Efficient, Creative","Indifferent, Impatient",True,True,True,Pass,Engineering,,1.0,,,,,,,3.0
193,Josh Youens,2019-08-08,Listening,"Sensitive, Anxious, Indecisive",True,True,True,Pass,Engineering,,5.0,,,4.0,,,3.0,
194,Aldo Bradnum,2019-08-27,Consistent,"Distracted, Conventional, Chaotic",True,True,True,Pass,Engineering,1.0,,2.0,,,3.0,3.0,2.0,2.0
195,Xymenes Pretor,2019-08-07,"Organisation, Ambitious","Selfish, Sensitive, Intolerant",True,True,True,Pass,Engineering,,1.0,,1.0,,3.0,,,
196,Heinrik Allwell,2019-08-08,"Collaboration, Efficient, Organisation","Critical, Competitive",True,True,True,Pass,Business,,2.0,,,,,,1.0,
197,Bob Rogerson,2019-08-07,Efficient,"Stubborn, Introverted",True,True,True,Pass,Data,1.0,2.0,,3.0,4.0,,1.0,6.0,
198,Neall Mayor,2019-08-07,"Independent, Competitive, Consistent",Overbearing,True,True,False,Fail,Data,1.0,3.0,1.0,,,4.0,,,2.0
199,Ilysa Kiggel,2019-08-07,Consistent,"Slow, Indecisive, Undisciplined",True,True,True,Pass,Data,2.0,,,,4.0,,,,3.0
200,Melisse Craze,2019-08-20,"Rational, Courteous, Efficient",Selfish,True,True,True,Fail,Data,5.0,5.0,,,3.0,4.0,,,
201,Petronille Dougharty,2019-08-29,"Courteous, Passionate","Introverted, Immature, Sensitive",False,True,True,Fail,Business,,6.0,,4.0,,,,,
202,Urbano Reinisch,2019-08-13,"Courteous, Ambitious, Organisation","Immature, Perfectionist, Distracted",True,True,True,Pass,Engineering,,3.0,,,1.0,,,3.0,
203,Noami Edworthye,2019-08-20,"Collaboration, Patient, Determined",Impatient,False,True,True,Fail,Business,4.0,2.0,2.0,3.0,3.0,,2.0,,
204,Cynthia Jenny,2019-08-06,"Ambitious, Empathy","Immature, Conventional",True,False,True,Fail,Business,2.0,,,4.0,,,4.0,,
205,Ivett Prop,2019-08-22,"Organisation, Altruism","Distracted, Immature, Overbearing",True,True,True,Pass,Business,1.0,1.0,,3.0,,,,,
206,Lamond Levensky,2019-08-13,Problem Solving,"Anxious, Impatient, Sensitive",True,True,True,Pass,Data,1.0,1.0,,6.0,6.0,,,,
207,Estevan Bartalini,2019-08-21,"Altruism, Rational, Collaboration",Stubborn,True,True,True,Pass,Engineering,,,1.0,,2.0,,,4.0,3.0
208,Redford Bubbings,2019-08-15,"Rational, Curious, Courteous",Procrastination,False,True,True,Fail,Engineering,,4.0,2.0,,,,1.0,,
209,Brandais Reiner,2019-08-22,"Ambitious, Determined",Indecisive,True,True,True,Pass,Business,,,3.0,1.0,,,,,1.0
210,Correy Clemont,2019-08-28,Versatile,"Conventional, Overbearing",True,False,True,Fail,Data,,1.0,,,,,,,
211,Starr Curcher,2019-08-15,Consistent,Indifferent,True,False,True,Fail,Business,,,4.0,4.0,1.0,,3.0,,
212,Rosaline Goldsmith,2019-08-21,Empathy,"Selfish, Immature",True,True,True,Pass,Engineering,,,,,,3.0,,4.0,
213,Chancey Climer,2019-08-27,"Versatile, Critical Thinking","Critical, Distracted, Perfectionist",True,True,True,Pass,Business,4.0,,,,1.0,2.0,,2.0,1.0
214,Gena Humbles,2019-08-29,"Collaboration, Perfectionism, Independent","Stubborn, Conventional",True,True,True,Pass,Engineering,,,1.0,,,1.0,,,
215,Madeleine Younglove,2019-08-06,Organisation,Controlling,True,False,True,Fail,Engineering,,,,2.0,,4.0,7.0,1.0,
216,Leonerd Scamel,2019-08-08,Efficient,Controlling,False,True,True,Fail,Engineering,,,,,5.0,,,,4.0
217,Balduin Culleton,2019-08-13,Courteous,"Chaotic, Perfectionist, Critical",True,True,True,Fail,Data,,,2.0,6.0,5.0,,,,
218,Oliy Ellar,2019-08-13,"Rational, Courteous","Perfectionist, Distracted",True,True,False,Fail,Engineering,,4.0,,7.0,,,,3.0,
219,Carena Nizet,2019-08-08,Empathy,Immature,True,True,True,Pass,Engineering,2.0,5.0,3.0,5.0,,,,,1.0
220,Theo Ottee,2019-08-21,"Perfectionism, Innovative, Creative","Intolerant, Chatty, Perfectionist",True,True,True,Pass,Engineering,,,,,,,,2.0,
221,Britt Summergill,2019-08-28,Curious,"Introverted, Impatient, Stubborn",True,True,True,Pass,Data,,,2.0,,,,,,
222,Nial Oret,2019-08-13,Versatile,"Passive, Impatient, Introverted",True,False,True,Fail,Data,2.0,4.0,,1.0,,,4.0,,1.0
223,Pegeen O'Lochan,2019-08-15,"Independent, Patient, Passionate",Sensitive,True,True,False,Fail,Business,,2.0,2.0,,,,3.0,1.0,1.0
224,Kingsley Hardaker,2019-08-28,Altruism,Slow,True,True,True,Pass,Business,,,,,,,,,1.0
225,Lorine Bignall,2019-08-01,Listening,Stubborn,True,True,True,Fail,Business,,,,,,2.0,,1.0,
226,Christian Bingley,2019-08-13,"Independent, Listening","Anxious, Introverted, Conventional",True,True,True,Pass,Data,,,,4.0,,,,,
227,Ad Do,2019-08-21,"Curious, Ambitious, Patient",Perfectionist,True,True,True,Pass,Engineering,5.0,1.0,1.0,,,1.0,,,
228,Beret Devonside,2019-08-15,Listening,"Undisciplined, Indifferent, Immature",True,True,False,Fail,Business,,,,6.0,,3.0,,,1.0
229,Denyse Weth,2019-08-22,"Patient, Competitive",Perfectionist,True,True,True,Pass,Business,,,,,,,,2.0,
230,Deirdre Van Den Velde,2019-08-01,Perfectionism,Competitive,True,True,True,Pass,Engineering,3.0,,,,,,3.0,,3.0
231,Bevon Mustill,2019-08-15,"Perfectionism, Competitive","Chaotic, Competitive, Controlling",False,False,True,Fail,Engineering,1.0,1.0,2.0,,2.0,1.0,5.0,4.0,
232,Ruthe Adolthine,2019-08-01,"Charisma, Creative, Curious","Selfish, Immature",True,True,False,Fail,Data,6.0,,,,,2.0,,,
233,Vaughn Wallington,2019-08-27,Curious,"Introverted, Sensitive, Chaotic",True,True,True,Pass,Business,,,,7.0,3.0,,,,
234,Matty Ceney,2019-08-08,"Ambitious, Patient","Procrastination, Passive, Slow",True,True,True,Pass,Engineering,3.0,2.0,,5.0,,2.0,,2.0,
235,Rubia Espy,2019-08-08,"Determined, Collaboration","Critical, Anxious",True,True,True,Pass,Business,,1.0,,,1.0,,,,
236,Meridel Dearell,2019-08-21,"Curious, Perfectionism","Anxious, Procrastination",True,True,True,Pass,Data,,,,,,5.0,1.0,,
237,Noelyn Sinkin,2019-08-21,"Determined, Patient, Critical Thinking","Indifferent, Slow",True,True,True,Pass,Business,,,,,2.0,4.0,,,
238,Mozelle Grinnov,2019-08-20,"Courteous, Patient","Passive, Chatty",True,True,True,Pass,Engineering,,,,,3.0,,1.0,,
239,Christyna Arkill,2019-08-21,Courteous,Conventional,True,True,True,Pass,Data,2.0,,6.0,3.0,,6.0,,2.0,
240,Kain Lowne,2019-08-29,"Organisation, Empathy, Innovative",Anxious,True,True,True,Pass,Data,4.0,4.0,,3.0,4.0,,5.0,,2.0
241,Mitchel Blackesland,2019-08-14,"Determined, Critical Thinking, Ambitious","Impatient, Intolerant, Undisciplined",True,True,True,Pass,Data,,5.0,,7.0,3.0,,3.0,,2.0
242,Albie Lyon,2019-08-22,"Problem Solving, Patient, Ambitious","Controlling, Slow, Indecisive",True,True,True,Pass,Data,4.0,,4.0,5.0,,,,,1.0
243,Farand Rotlauf,2019-08-20,Perfectionism,Selfish,True,True,True,Pass,Engineering,6.0,7.0,6.0,1.0,,,,6.0,
244,Bo Fargie,2019-08-28,Altruism,Impatient,True,True,True,Pass,Engineering,,,,,5.0,4.0,2.0,2.0,
245,Arch Cookley,2019-08-20,"Innovative, Listening, Courteous","Competitive, Overbearing",True,False,True,Fail,Engineering,,,,3.0,3.0,1.0,6.0,,
246,Martica Cawse,2019-08-08,Creative,"Introverted, Overbearing",True,True,True,Pass,Engineering,,,,,,,,1.0,1.0
247,Nancie Mehaffey,2019-08-08,"Efficient, Independent, Critical Thinking","Intolerant, Selfish, Passive",True,True,True,Pass,Data,,,,,,6.0,6.0,3.0,
248,Donnamarie Schofield,2019-08-15,Ambitious,Passive,True,True,True,Pass,Data,3.0,,,,2.0,4.0,5.0,,
249,Erda Liddel,2019-08-06,Altruism,Anxious,True,False,True,Fail,Business,,,,2.0,,3.0,,,
250,Alister Bru,2019-08-07,"Organisation, Composure, Reliable","Critical, Distracted, Introverted",True,True,True,Pass,Engineering,,,,,,,,,
251,Sigismund Izkovici,2019-08-15,"Problem Solving, Charisma, Collaboration",Overbearing,True,True,True,Pass,Engineering,,1.0,,,,,,,2.0
252,Star Jurges,2019-08-01,"Patient, Listening","Competitive, Impatient",True,True,True,Pass,Data,6.0,,,,1.0,,,5.0,
253,Pauly Gillbee,2019-08-28,"Problem Solving, Listening",Stubborn,True,True,True,Pass,Business,,,,,2.0,,3.0,,
254,Stan Forkan,2019-08-01,"Creative, Versatile","Chatty, Procrastination, Chaotic",True,True,True,Fail,Data,1.0,,,,,,4.0,,
255,Brinn Trewhela,2019-08-06,"Consistent, Altruism","Slow, Indifferent, Anxious",True,True,True,Pass,Business,4.0,,,,,1.0,,3.0,2.0
256,Rodrigo Endrighi,2019-08-14,Competitive,"Competitive, Impulsive, Conventional",True,True,True,Pass,Data,3.0,1.0,2.0,,,2.0,,1.0,
257,Tansy Dukelow,2019-08-20,"Altruism, Curious","Procrastination, Indifferent",True,False,True,Fail,Engineering,3.0,,,,2.0,3.0,,,2.0
258,Sean Ovise,2019-08-27,Problem Solving,Conventional,True,True,True,Pass,Engineering,,2.0,,,1.0,4.0,,,
259,Anselma Pawlett,2019-08-21,Innovative,"Selfish, Immature",True,True,True,Pass,Data,,,1.0,4.0,1.0,5.0,,,
260,Kerrie Rosi,2019-08-22,"Empathy, Independent, Critical Thinking","Competitive, Conventional",True,True,True,Pass,Business,7.0,,4.0,,,,,1.0,
261,Dorothy Hailwood,2019-08-15,Versatile,Introverted,True,False,True,Fail,Business,5.0,1.0,2.0,7.0,,4.0,5.0,1.0,
262,Jodie Kaygill,2019-08-01,"Consistent, Altruism","Competitive, Overbearing, Selfish",True,True,True,Pass,Data,1.0,,3.0,,1.0,2.0,,1.0,2.0
263,Jim Dwerryhouse,2019-08-27,Problem Solving,"Perfectionist, Sensitive",True,True,True,Pass,Business,2.0,3.0,,,3.0,,,,
264,Delinda Conybear,2019-08-01,"Passionate, Organisation, Critical Thinking","Procrastination, Controlling, Sensitive",True,True,True,Pass,Data,,,,,3.0,,2.0,,3.0
265,Norby Burle,2019-08-21,"Competitive, Versatile",Overbearing,False,False,True,Fail,Business,,,5.0,,3.0,,5.0,,
266,Robinet Renwick,2019-08-15,Courteous,"Procrastination, Distracted, Indifferent",True,True,True,Pass,Business,1.0,4.0,,,2.0,,,,
267,Perry Richemond,2019-08-08,"Problem Solving, Rational","Perfectionist, Overbearing, Critical",True,True,True,Pass,Data,1.0,,,5.0,,,,,4.0
268,Carlyn Reisin,2019-08-14,"Consistent, Creative, Organisation","Immature, Impatient, Sensitive",True,True,True,Pass,Business,1.0,4.0,,2.0,5.0,5.0,2.0,3.0,
269,Horatius Starking,2019-08-08,Consistent,"Selfish, Introverted, Slow",True,True,False,Fail,Business,3.0,,,2.0,,5.0,,,1.0
270,Leoline Vigietti,2019-08-07,"Determined, Patient","Intolerant, Immature",True,True,True,Pass,Business,,,1.0,,,,,,1.0
271,Rudolf Maple,2019-08-21,Listening,"Chatty, Intolerant, Passive",True,True,True,Pass,Data,,,,,4.0,,,,
272,Alwin Bullman,2019-08-07,"Charisma, Perfectionism, Rational",Controlling,True,True,True,Pass,Data,,2.0,,,4.0,2.0,2.0,2.0,
273,Shae Ainslie,2019-08-15,Innovative,"Chaotic, Slow",True,True,True,Pass,Business,3.0,,3.0,,3.0,4.0,4.0,4.0,
274,Ciel Poizer,2019-08-14,"Listening, Curious","Sensitive, Conventional, Immature",False,True,True,Fail,Business,5.0,,,,,,,2.0,
275,Matteo Yeowell,2019-08-01,"Versatile, Empathy","Overbearing, Sensitive, Selfish",True,True,True,Pass,Business,,,4.0,,,6.0,2.0,,3.0
276,Saundra Fuzzens,2019-08-28,"Passionate, Efficient, Charisma","Procrastination, Slow, Overbearing",True,True,True,Fail,Business,3.0,,5.0,,6.0,,3.0,,
277,Denise Oppy,2019-08-21,"Courteous, Independent",Sensitive,True,True,True,Pass,Engineering,4.0,,6.0,7.0,,,,,2.0
278,Didi Stronough,2019-08-29,Reliable,"Slow, Anxious",True,True,True,Pass,Engineering,2.0,,,,1.0,,,,
279,Tarrah Bunny,2019-08-07,Altruism,"Perfectionist, Distracted",True,True,True,Pass,Business,6.0,,,,,,,,
280,Bondon Josselson,2019-08-15,Innovative,"Introverted, Chatty",True,False,True,Fail,Engineering,,2.0,6.0,,,,,,
281,Denny Begg,2019-08-08,"Altruism, Charisma",Introverted,True,True,True,Pass,Data,6.0,7.0,,,2.0,,4.0,3.0,4.0
282,Clim Lovie,2019-08-29,"Creative, Empathy","Undisciplined, Slow",True,True,True,Fail,Business,,,,3.0,,,1.0,,
283,Wolf Radolf,2019-08-08,"Listening, Determined","Indifferent, Chatty",True,True,True,Pass,Engineering,4.0,3.0,2.0,,,,1.0,4.0,
284,Ferrel Lissandrini,2019-08-29,"Creative, Ambitious",Slow,True,True,True,Fail,Business,,,2.0,,2.0,,,,
285,Carlos Gerckens,2019-08-01,"Collaboration, Ambitious","Intolerant, Stubborn, Anxious",True,True,True,Pass,Data,,4.0,,7.0,,1.0,,,
286,Blake Nunson,2019-08-01,"Reliable, Determined","Competitive, Indifferent, Controlling",True,True,True,Pass,Engineering,,1.0,,,1.0,3.0,,,
287,Paula Danielsen,2019-08-22,"Altruism, Listening, Problem Solving",Impulsive,True,True,False,Fail,Business,,2.0,,,,3.0,1.0,,2.0
288,Brose Menghi,2019-08-06,"Rational, Listening, Organisation","Passive, Slow",True,True,True,Pass,Engineering,3.0,3.0,,,,,,,
289,Junia Collins,2019-08-29,"Composure, Collaboration",Slow,True,True,True,Pass,Data,,4.0,,,2.0,,,,1.0
290,Jule Corke,2019-08-29,"Listening, Reliable, Passionate",Undisciplined,True,True,False,Fail,Engineering,1.0,1.0,2.0,,1.0,,,,
291,Matteo Cornewell,2019-08-27,Composure,"Impatient, Undisciplined",True,True,True,Pass,Business,,1.0,,,,,,,
292,Sid Libbie,2019-08-01,"Competitive, Ambitious","Chaotic, Sensitive",True,True,False,Fail,Engineering,,,,2.0,,1.0,3.0,,
293,Rhody Cushion,2019-08-27,"Listening, Reliable, Efficient","Passive, Introverted",True,True,True,Pass,Business,2.0,8.0,,,,,,1.0,
294,Chester Hanselmann,2019-08-07,Creative,"Passive, Controlling",True,True,False,Fail,Data,,1.0,1.0,,4.0,2.0,5.0,2.0,3.0
295,Courtney Wenman,2019-08-28,"Composure, Innovative","Passive, Indifferent, Competitive",False,True,True,Fail,Engineering,,2.0,2.0,,,1.0,1.0,1.0,5.0
296,Vaclav Ortler,2019-08-20,Composure,"Indifferent, Undisciplined",True,True,True,Pass,Data,,,,,1.0,4.0,1.0,3.0,
297,Mariquilla Cowope,2019-08-14,Rational,"Impulsive, Anxious, Sensitive",True,True,True,Fail,Business,,2.0,,,,,,3.0,1.0
298,Joey Macgeffen,2019-08-14,Organisation,"Intolerant, Overbearing",True,True,True,Pass,Data,,,,,4.0,,,,
299,Cora Klausewitz,2019-08-15,"Problem Solving, Competitive, Versatile","Slow, Sensitive, Intolerant",True,True,True,Pass,Data,3.0,5.0,3.0,3.0,,5.0,1.0,,
300,Gris Brame,2019-08-14,"Consistent, Innovative, Rational","Slow, Anxious",True,True,False,Fail,Business,,1.0,4.0,,,4.0,3.0,,
301,Berty Huban,2019-07-18,"Competitive, Listening","Passive, Anxious",True,True,True,Pass,Business,2.0,,,,,,,,
302,Matthieu Dulake,2019-07-31,"Collaboration, Creative, Rational",Introverted,True,True,True,Pass,Engineering,,1.0,,,,4.0,,,
303,Darwin Sambiedge,2019-07-10,"Altruism, Efficient, Critical Thinking",Passive,True,True,True,Fail,Data,,,,,3.0,5.0,1.0,,3.0
304,Sim Bacchus,2019-07-23,Passionate,"Procrastination, Stubborn, Critical",True,True,True,Pass,Data,,,,,,,,,6.0
305,Anabal Teese,2019-07-09,"Curious, Passionate, Listening","Selfish, Intolerant, Anxious",True,False,True,Fail,Business,,2.0,,,,7.0,,,1.0
306,Sybila Bragge,2019-07-23,"Courteous, Altruism, Independent","Passive, Procrastination, Introverted",True,False,True,Fail,Data,,9.0,2.0,,2.0,,,,5.0
307,Donalt Gummoe,2019-07-16,"Independent, Problem Solving, Passionate","Conventional, Introverted, Sensitive",False,True,True,Fail,Data,,,3.0,,5.0,4.0,2.0,,
308,Romola Coldtart,2019-07-17,Reliable,"Sensitive, Impulsive, Conventional",True,True,True,Pass,Data,1.0,4.0,,,2.0,,,,1.0
309,Shea Chasmoor,2019-07-17,"Empathy, Consistent, Patient","Passive, Impulsive, Stubborn",True,True,True,Fail,Business,,,2.0,,1.0,,,,4.0
310,Nora Akers,2019-07-24,Organisation,"Impatient, Sensitive, Undisciplined",True,True,True,Pass,Engineering,,3.0,4.0,,1.0,,,,
311,Sander Rewbottom,2019-07-25,"Altruism, Problem Solving, Listening","Sensitive, Slow",True,True,True,Pass,Data,2.0,,,4.0,2.0,5.0,1.0,,
312,Francklyn Leyninye,2019-07-24,"Problem Solving, Passionate, Altruism","Selfish, Passive",True,True,True,Pass,Business,2.0,1.0,3.0,1.0,,,2.0,1.0,
313,Julissa Dumbleton,2019-07-24,Courteous,"Critical, Intolerant, Controlling",True,True,True,Pass,Data,,2.0,,,4.0,,5.0,,
314,Zacharias Restorick,2019-07-11,Curious,Intolerant,True,True,True,Pass,Business,,,2.0,,,,5.0,,
315,Andriana Uc,2019-07-02,Problem Solving,Impatient,True,True,True,Pass,Business,1.0,,5.0,,,,,,1.0
316,Benita Enefer,2019-07-11,"Empathy, Organisation",Distracted,True,True,True,Pass,Data,,,,,,2.0,,1.0,
317,Isacco Teese,2019-07-02,"Versatile, Critical Thinking","Indifferent, Immature, Stubborn",True,True,True,Pass,Business,,,,2.0,,8.0,2.0,,
318,Farlee Baalham,2019-07-16,"Determined, Critical Thinking",Overbearing,True,False,True,Fail,Data,,,,3.0,,,6.0,,1.0
319,Zsa Zsa Rounsefull,2019-07-16,"Problem Solving, Reliable, Charisma","Immature, Undisciplined, Passive",True,True,True,Fail,Data,,,,,,,,,2.0
320,Amanda Minto,2019-07-18,Determined,"Impulsive, Indecisive, Perfectionist",False,True,True,Fail,Business,,,,,,6.0,,,4.0
321,Annie Ibbotson,2019-07-25,"Independent, Competitive",Indifferent,True,False,True,Fail,Business,,2.0,,,,,,,
322,Roana Sanger,2019-07-11,"Rational, Composure",Impatient,True,False,True,Fail,Business,,1.0,3.0,,2.0,,,,1.0
323,Elise Soppeth,2019-07-24,Critical Thinking,"Conventional, Chaotic",True,True,True,Pass,Data,1.0,2.0,,1.0,4.0,9.0,,,
324,Betty Lamlin,2019-07-10,"Problem Solving, Ambitious, Perfectionism",Chaotic,False,True,True,Fail,Data,,,,,5.0,,3.0,4.0,
325,Verena Townes,2019-07-16,Critical Thinking,Procrastination,True,True,True,Pass,Business,,,1.0,,1.0,2.0,1.0,,1.0
326,Constance Fellibrand,2019-07-09,Innovative,"Indifferent, Immature",True,True,True,Pass,Engineering,,,2.0,,,,2.0,5.0,1.0
327,Joannes Yurshev,2019-07-18,"Determined, Curious","Slow, Undisciplined",True,True,True,Pass,Business,,1.0,,1.0,,,,2.0,1.0
328,Brunhilde Zellick,2019-07-03,"Creative, Perfectionism, Consistent","Chaotic, Undisciplined",True,True,True,Pass,Engineering,,2.0,,,,,,1.0,
329,Mathilde Keppin,2019-07-02,"Creative, Efficient, Ambitious","Indifferent, Selfish, Overbearing",True,True,True,Pass,Engineering,,4.0,,,2.0,3.0,1.0,3.0,
330,Aili Bursnoll,2019-07-30,"Ambitious, Passionate",Intolerant,True,False,True,Fail,Engineering,5.0,,2.0,,,,,,
331,Kerr Allanson,2019-07-24,"Curious, Composure, Independent","Procrastination, Conventional, Chaotic",False,True,True,Fail,Data,2.0,,3.0,,,,,,
332,Eldin Broster,2019-07-17,"Creative, Innovative","Controlling, Stubborn, Slow",True,True,True,Fail,Data,4.0,,3.0,,,2.0,,,
333,Cherrita Mcgilleghole,2019-07-11,"Efficient, Empathy, Curious","Indifferent, Slow, Stubborn",True,True,True,Pass,Engineering,,,2.0,10.0,,,,3.0,
334,Ortensia Winscomb,2019-07-11,"Versatile, Competitive, Rational","Slow, Introverted, Procrastination",True,True,True,Pass,Data,,,6.0,1.0,,,4.0,,
335,Fleming Mcmurdo,2019-07-09,Organisation,Impatient,True,False,True,Fail,Data,5.0,2.0,3.0,3.0,,2.0,,,2.0
336,Brigid Blabber,2019-07-23,"Problem Solving, Innovative, Critical Thinking","Selfish, Introverted, Stubborn",True,True,True,Pass,Business,6.0,,3.0,,,,2.0,1.0,
337,Ludvig Grzes,2019-07-16,"Organisation, Collaboration, Altruism","Procrastination, Immature, Impatient",True,True,True,Pass,Data,,3.0,,,,,1.0,,
338,Hurley Collyer,2019-07-24,Perfectionism,"Chaotic, Slow, Chatty",True,False,True,Fail,Engineering,,,,,,,3.0,,
339,Kitty Allen,2019-07-02,"Determined, Creative",Sensitive,True,True,True,Pass,Business,5.0,4.0,3.0,,5.0,,,,
340,Bary Fendlen,2019-07-18,Listening,Immature,True,True,True,Fail,Business,,1.0,,1.0,4.0,3.0,3.0,,2.0
341,Horten Goble,2019-07-24,"Courteous, Critical Thinking, Innovative",Immature,True,True,True,Pass,Business,4.0,1.0,,,,,,1.0,
342,Natassia Pawle,2019-07-03,"Altruism, Empathy, Perfectionism","Intolerant, Impulsive, Passive",True,True,True,Pass,Engineering,1.0,5.0,,3.0,3.0,,,,
343,Karoly Skates,2019-07-16,"Determined, Critical Thinking",Competitive,True,True,True,Pass,Engineering,,4.0,,,5.0,2.0,4.0,1.0,2.0
344,Albina Alves,2019-07-02,"Altruism, Creative, Problem Solving","Selfish, Procrastination",True,True,True,Pass,Business,,1.0,,,2.0,,1.0,,1.0
345,Evered Giovanizio,2019-07-04,"Competitive, Listening","Chaotic, Intolerant, Undisciplined",False,True,True,Fail,Business,,,5.0,,6.0,2.0,,,
346,Elliot Yarnley,2019-07-23,"Collaboration, Consistent","Sensitive, Chatty, Distracted",True,True,True,Fail,Engineering,,3.0,,8.0,,,,5.0,
347,Vanessa Gives,2019-07-30,Perfectionism,"Chatty, Critical",False,True,True,Fail,Data,,,3.0,1.0,5.0,,,,1.0
348,Fremont Oxlee,2019-07-18,"Independent, Collaboration, Creative","Slow, Conventional, Competitive",True,True,True,Fail,Business,,1.0,,,,3.0,1.0,,2.0
349,Fan Hember,2019-07-04,"Determined, Independent, Courteous","Passive, Impatient",True,False,True,Fail,Business,5.0,1.0,,,,,,,
350,Fee Karpe,2019-07-17,"Creative, Efficient","Procrastination, Perfectionist",True,True,True,Pass,Data,,2.0,,,7.0,,2.0,,
351,Katrine Westley,2019-07-24,Perfectionism,"Chaotic, Competitive",True,False,True,Fail,Engineering,3.0,,,,,,,3.0,
352,Quill Tompkinson,2019-07-10,Courteous,"Indecisive, Critical",True,True,True,Fail,Data,2.0,,,,2.0,,5.0,,2.0
353,Donavon Glazebrook,2019-07-23,"Altruism, Collaboration, Composure","Slow, Intolerant, Stubborn",True,True,True,Pass,Business,,2.0,,,,,,,
354,Gisele Beetham,2019-07-25,"Independent, Problem Solving","Indifferent, Chaotic, Sensitive",False,False,True,Fail,Data,3.0,,,3.0,,,3.0,,
355,Hilliard Reinard,2019-07-18,Problem Solving,"Passive, Undisciplined",True,True,True,Pass,Engineering,,,,,,,,5.0,2.0
356,Ira Rathbourne,2019-07-18,"Patient, Ambitious, Passionate","Competitive, Controlling, Slow",True,True,True,Pass,Data,,,,,,5.0,,3.0,
357,Shaun Dowley,2019-07-10,Determined,Indecisive,True,True,False,Fail,Business,,3.0,2.0,,2.0,,,,2.0
358,Hartwell Silver,2019-07-30,"Determined, Listening","Chaotic, Competitive",True,True,True,Pass,Engineering,,6.0,5.0,,,,,,3.0
359,Shoshanna Janicek,2019-07-18,Rational,"Intolerant, Impulsive",True,True,True,Pass,Engineering,,2.0,,,3.0,4.0,,,
360,Ingrid Cradick,2019-07-24,"Determined, Passionate","Overbearing, Conventional",True,False,True,Fail,Data,,,,1.0,5.0,2.0,,2.0,1.0
361,Chevy Pyburn,2019-07-02,"Perfectionism, Patient, Organisation","Overbearing, Stubborn",True,True,True,Pass,Engineering,1.0,,,1.0,,,,,
362,Bertram Esgate,2019-07-30,"Independent, Composure, Altruism","Selfish, Chatty, Controlling",True,True,True,Pass,Data,4.0,,3.0,2.0,,,,1.0,
363,Larisa Warrington,2019-07-02,"Independent, Consistent","Distracted, Anxious",False,True,True,Fail,Business,,3.0,,,2.0,,,,
364,Lissa Pumfrett,2019-07-11,"Empathy, Perfectionism",Impulsive,True,True,True,Pass,Data,,,,,,4.0,,,
365,Demetrius Dunbavin,2019-07-02,"Versatile, Passionate, Efficient","Stubborn, Passive",True,True,True,Pass,Business,,,1.0,,,,,1.0,
366,Morgen Lilywhite,2019-07-09,"Composure, Versatile, Problem Solving","Impatient, Immature, Selfish",True,True,True,Pass,Data,,,,,,,,,
367,Rickard Blakes,2019-07-09,"Collaboration, Empathy","Undisciplined, Indecisive, Distracted",True,True,True,Pass,Engineering,,,3.0,3.0,,,8.0,1.0,1.0
368,Emily Barras,2019-07-30,Altruism,"Conventional, Indifferent, Impatient",True,True,True,Pass,Business,,,,,,,2.0,1.0,
369,Tonye Ambrogio,2019-07-18,Listening,"Critical, Procrastination",True,True,True,Pass,Data,5.0,4.0,,3.0,,5.0,,,1.0
370,Robers Gentner,2019-07-09,Perfectionism,"Anxious, Conventional",True,True,True,Fail,Data,,2.0,,,,1.0,,,6.0
371,Kellyann Yorkston,2019-07-16,Courteous,"Intolerant, Controlling",True,True,False,Fail,Data,,3.0,,,3.0,1.0,4.0,2.0,2.0
372,Olly Mougenel,2019-07-16,"Problem Solving, Perfectionism","Perfectionist, Slow, Undisciplined",True,True,False,Fail,Business,,3.0,7.0,,,2.0,2.0,2.0,1.0
373,Merrill Mckie,2019-07-23,"Versatile, Ambitious","Perfectionist, Intolerant, Overbearing",True,True,True,Pass,Business,,,5.0,1.0,2.0,4.0,,,5.0
374,Kass Castellan,2019-07-03,"Creative, Listening",Indecisive,True,True,True,Pass,Engineering,4.0,,,,,,3.0,,
375,Marlon Reside,2019-07-30,"Courteous, Altruism",Undisciplined,True,True,True,Pass,Data,,,,3.0,,,,4.0,
376,Oswald Lyndon,2019-07-10,"Competitive, Independent","Procrastination, Impatient",True,True,True,Pass,Engineering,,,9.0,5.0,,3.0,,4.0,
377,Arty Indruch,2019-07-02,"Courteous, Patient, Creative",Intolerant,True,True,True,Pass,Business,3.0,4.0,6.0,,,3.0,5.0,2.0,
378,Sharl Shambrooke,2019-07-04,"Innovative, Reliable, Curious",Undisciplined,True,True,True,Fail,Engineering,9.0,,2.0,,4.0,,1.0,,
379,Antonius Heape,2019-07-17,Ambitious,Procrastination,True,True,True,Pass,Engineering,2.0,,,,2.0,,8.0,,
