name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
Sosanna Rawlings,Macey Broughton,1,6,3,3,4,4,4.0,4.0,6.0,2.0,6.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,8.0,7.0,5.0,4.0,8.0,6.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,3.0,1.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,
Allistir Langrick,Macey Broughton,6,2,6,1,4,2,3.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,3.0,5.0,4.0,5.0,2.0,4.0,2.0,4.0,7.0,3.0,2.0,4.0,7.0,3.0,6.0,7.0,4.0,4.0,2.0,1.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
Honor Huntall,Macey Broughton,3,5,1,5,1,2,5.0,1.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,8.0,5.0,7.0,5.0,8.0,3.0,8.0,4.0,2.0,8.0,8.0,4.0,5.0,8.0,4.0,5.0,6.0,5.0,8.0,5.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,,,,,,,,,,,,
Natassia Pawle,Macey Broughton,2,3,4,1,1,3,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,1.0,8.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,7.0,6.0,4.0,8.0,4.0,7.0,4.0,8.0,3.0,7.0,8.0,4.0,5.0,5.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,
Haywood Teager,Macey Broughton,3,5,3,3,1,8,4.0,2.0,3.0,1.0,6.0,2.0,6.0,4.0,2.0,3.0,5.0,3.0,7.0,3.0,6.0,6.0,7.0,3.0,1.0,2.0,3.0,7.0,4.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Marillin Rosendall,Macey Broughton,4,2,3,1,3,3,5.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,8.0,3.0,6.0,7.0,7.0,5.0,7.0,6.0,8.0,5.0,5.0,2.0,6.0,8.0,2.0,7.0,6.0,6.0,7.0,4.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,5.0,8.0,,,,,,,,,,,,
Giustina Catford,Martina Meadows,1,1,4,4,2,4,1.0,7.0,1.0,1.0,1.0,3.0,2.0,5.0,6.0,3.0,4.0,2.0,6.0,6.0,3.0,8.0,6.0,6.0,8.0,8.0,8.0,5.0,5.0,4.0,5.0,6.0,7.0,3.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,4.0,8.0,,,,,,,,,,,,
Kore Amburgy,Martina Meadows,4,1,1,3,3,4,5.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,4.0,1.0,7.0,7.0,7.0,1.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,1.0,8.0,8.0,8.0,4.0,,,,,,,,,,,,
Constance Fellibrand,Martina Meadows,3,4,3,5,4,1,2.0,2.0,2.0,5.0,6.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,7.0,2.0,4.0,8.0,2.0,2.0,6.0,4.0,5.0,5.0,3.0,8.0,8.0,8.0,8.0,4.0,8.0,5.0,8.0,8.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Rickard Blakes,Martina Meadows,5,1,5,3,4,2,1.0,4.0,8.0,2.0,3.0,4.0,4.0,2.0,5.0,1.0,7.0,3.0,5.0,6.0,3.0,5.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,5.0,4.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,5.0,8.0,3.0,8.0,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,
Noe Fortnam,Martina Meadows,1,6,1,3,2,3,3.0,3.0,3.0,8.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,7.0,5.0,6.0,8.0,3.0,7.0,7.0,4.0,5.0,8.0,4.0,4.0,8.0,8.0,8.0,2.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Cherrita Mcgilleghole,Martina Meadows,6,1,4,3,3,2,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,6.0,4.0,1.0,5.0,7.0,5.0,6.0,2.0,8.0,6.0,3.0,4.0,7.0,3.0,4.0,7.0,1.0,3.0,4.0,5.0,4.0,5.0,8.0,8.0,5.0,8.0,8.0,4.0,8.0,5.0,8.0,5.0,5.0,8.0,,,,,,,,,,,,
Charmain Diben,Martina Meadows,1,4,4,3,2,3,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Barns,Martina Meadows,6,1,3,2,3,1,1.0,4.0,3.0,4.0,2.0,1.0,5.0,5.0,3.0,2.0,4.0,3.0,8.0,7.0,7.0,3.0,8.0,8.0,5.0,2.0,6.0,4.0,8.0,6.0,4.0,3.0,3.0,5.0,6.0,1.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Brewer Calderbank,Eshal Brandt,1,3,2,2,4,3,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fons Ghiotto,Eshal Brandt,3,2,1,2,2,4,5.0,3.0,3.0,2.0,5.0,2.0,6.0,1.0,1.0,3.0,2.0,4.0,5.0,2.0,6.0,7.0,8.0,3.0,6.0,8.0,5.0,7.0,4.0,5.0,4.0,3.0,8.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,5.0,8.0,8.0,7.0,4.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0
Evin De Roeck,Eshal Brandt,5,4,2,2,3,4,2.0,2.0,3.0,1.0,4.0,3.0,3.0,5.0,3.0,2.0,1.0,2.0,4.0,6.0,7.0,6.0,3.0,7.0,5.0,8.0,4.0,8.0,6.0,4.0,8.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Maxy Bensen,Eshal Brandt,2,4,2,4,1,2,5.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,6.0,2.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,5.0,7.0,5.0,5.0,8.0,4.0,7.0,5.0,4.0,8.0,7.0,6.0,5.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Calida Behr,Eshal Brandt,2,2,3,5,2,1,3.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,4.0,3.0,6.0,4.0,5.0,5.0,7.0,3.0,8.0,7.0,8.0,8.0,5.0,5.0,3.0,4.0,5.0,8.0,5.0,6.0,6.0,4.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Dannel Longmaid,Eshal Brandt,2,8,5,3,7,5,3.0,1.0,1.0,5.0,7.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,8.0,8.0,5.0,8.0,5.0,7.0,3.0,7.0,2.0,8.0,7.0,3.0,4.0,5.0,8.0,5.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Sarah Magor,Eshal Brandt,2,4,1,2,6,2,3.0,2.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,4.0,7.0,1.0,4.0,5.0,6.0,8.0,3.0,3.0,5.0,2.0,5.0,6.0,4.0,3.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,2.0,6.0,8.0,6.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Alistair Scanes,Eshal Brandt,4,2,4,1,2,3,3.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,8.0,2.0,4.0,8.0,3.0,4.0,4.0,5.0,7.0,6.0,6.0,3.0,4.0,8.0,8.0,5.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,5.0,8.0,8.0,7.0,5.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Homere Stentiford,Eshal Brandt,2,2,4,2,5,3,1.0,3.0,2.0,1.0,6.0,2.0,3.0,3.0,2.0,3.0,7.0,3.0,5.0,4.0,7.0,5.0,4.0,4.0,8.0,8.0,8.0,5.0,3.0,3.0,7.0,2.0,5.0,7.0,5.0,8.0,7.0,8.0,8.0,2.0,6.0,8.0,8.0,8.0,4.0,8.0,8.0,4.0,8.0,7.0,8.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
Alvie Bleackly,Eshal Brandt,4,3,2,3,5,2,4.0,1.0,4.0,1.0,3.0,1.0,6.0,3.0,1.0,2.0,1.0,6.0,7.0,8.0,8.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0,7.0,2.0,6.0,4.0,4.0,6.0,8.0,5.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0
Brnaby Bownes,Eshal Brandt,2,1,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Nunson,Eshal Brandt,4,2,2,3,2,2,2.0,5.0,2.0,2.0,4.0,3.0,7.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,4.0,5.0,6.0,8.0,2.0,4.0,5.0,7.0,8.0,6.0,2.0,3.0,6.0,7.0,8.0,8.0,8.0,8.0,3.0,5.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Deirdre Van Den Velde,Eshal Brandt,4,1,4,1,4,2,1.0,5.0,3.0,4.0,4.0,1.0,3.0,4.0,5.0,4.0,2.0,3.0,8.0,6.0,6.0,5.0,7.0,6.0,8.0,2.0,5.0,8.0,8.0,6.0,2.0,8.0,5.0,4.0,3.0,8.0,8.0,7.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Brose Menghi,Eshal Brandt,1,5,3,1,3,3,3.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,8.0,2.0,8.0,7.0,7.0,8.0,4.0,2.0,5.0,7.0,4.0,7.0,8.0,6.0,6.0,4.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,4.0,8.0,8.0,4.0,,,,,,,,,,,,
Edithe Dimitrov,Eshal Brandt,1,3,3,2,3,6,3.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,5.0,6.0,7.0,7.0,8.0,8.0,6.0,6.0,4.0,6.0,5.0,3.0,8.0,6.0,8.0,4.0,2.0,1.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Demetrius Tunstall,Eshal Brandt,5,2,2,4,1,3,8.0,3.0,4.0,6.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chucho Galfour,Eshal Brandt,6,2,6,1,3,5,3.0,3.0,3.0,3.0,2.0,5.0,2.0,4.0,4.0,3.0,1.0,3.0,8.0,3.0,8.0,6.0,8.0,1.0,8.0,7.0,8.0,8.0,5.0,6.0,6.0,8.0,5.0,6.0,3.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,6.0,5.0,8.0,4.0,8.0,,,,,,,,,,,,
Mozelle Grinnov,Eshal Brandt,2,5,1,1,3,3,2.0,2.0,5.0,7.0,2.0,1.0,4.0,2.0,2.0,2.0,5.0,2.0,7.0,4.0,7.0,6.0,8.0,5.0,8.0,8.0,6.0,8.0,3.0,6.0,5.0,7.0,2.0,6.0,4.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,
Roze Yepiskopov,Eshal Brandt,3,4,4,1,1,1,4.0,1.0,5.0,6.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,8.0,2.0,4.0,2.0,8.0,6.0,8.0,6.0,8.0,5.0,6.0,7.0,2.0,6.0,6.0,6.0,4.0,4.0,4.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,,,,,,,,,,,,
Denise Oppy,Eshal Brandt,1,7,4,4,2,5,2.0,1.0,4.0,2.0,2.0,2.0,6.0,4.0,3.0,2.0,3.0,3.0,6.0,8.0,7.0,8.0,4.0,7.0,8.0,7.0,6.0,4.0,3.0,2.0,5.0,5.0,6.0,4.0,5.0,4.0,8.0,8.0,8.0,8.0,4.0,7.0,5.0,7.0,8.0,6.0,8.0,8.0,,,,,,,,,,,,
Rafi Downse,Eshal Brandt,2,1,2,2,5,1,6.0,2.0,1.0,3.0,3.0,3.0,6.0,4.0,3.0,2.0,2.0,1.0,7.0,8.0,2.0,7.0,8.0,5.0,3.0,7.0,3.0,8.0,7.0,8.0,6.0,5.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Camellia Bette,Eshal Brandt,2,4,4,1,2,2,1.0,3.0,3.0,1.0,3.0,2.0,6.0,3.0,2.0,2.0,8.0,1.0,7.0,3.0,1.0,6.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,6.0,8.0,7.0,3.0,5.0,3.0,3.0,7.0,8.0,4.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,,,,,,,,,,,,
Care Ife,Eshal Brandt,4,1,2,1,2,4,3.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,8.0,7.0,4.0,8.0,8.0,5.0,8.0,5.0,8.0,6.0,8.0,4.0,6.0,8.0,8.0,6.0,4.0,2.0,8.0,6.0,5.0,8.0,8.0,8.0,6.0,8.0,8.0,4.0,8.0,6.0,,,,,,,,,,,,
Vance Fey,Macey Broughton,6,1,6,4,8,5,1.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulcine Duffil,Macey Broughton,3,1,4,5,2,3,3.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,3.0,7.0,8.0,4.0,2.0,8.0,7.0,3.0,6.0,5.0,4.0,8.0,7.0,5.0,7.0,5.0,8.0,8.0,5.0,7.0,6.0,8.0,6.0,6.0,8.0,8.0,8.0,4.0,8.0,8.0,5.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0
Nona Coghlan,Macey Broughton,7,2,4,4,1,3,4.0,3.0,3.0,5.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,8.0,8.0,8.0,4.0,8.0,7.0,5.0,4.0,6.0,5.0,8.0,2.0,8.0,7.0,7.0,6.0,7.0,5.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,7.0,8.0,5.0,8.0,8.0,6.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Dorette Landall,Macey Broughton,4,6,2,3,3,5,4.0,2.0,7.0,3.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdemar Smithen,Macey Broughton,2,2,2,3,4,2,1.0,5.0,2.0,3.0,2.0,3.0,1.0,5.0,4.0,2.0,5.0,4.0,8.0,8.0,3.0,4.0,5.0,8.0,6.0,7.0,7.0,7.0,8.0,5.0,5.0,3.0,3.0,8.0,7.0,5.0,8.0,8.0,8.0,6.0,8.0,8.0,4.0,8.0,7.0,8.0,5.0,8.0,6.0,7.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0
Norene Dericut,Macey Broughton,4,2,2,3,3,4,1.0,7.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,8.0,8.0,4.0,8.0,6.0,5.0,2.0,4.0,5.0,8.0,7.0,7.0,3.0,6.0,3.0,3.0,5.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0
Jillian Wenn,Macey Broughton,4,4,3,2,2,2,3.0,4.0,2.0,3.0,5.0,6.0,3.0,5.0,3.0,3.0,6.0,5.0,8.0,4.0,6.0,8.0,8.0,4.0,4.0,8.0,8.0,6.0,8.0,8.0,7.0,5.0,8.0,4.0,2.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
Saraann Elcombe,Macey Broughton,1,3,3,3,4,5,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenn Blitz,Mohammad Velazquez,5,2,2,1,7,3,3.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,5.0,5.0,7.0,2.0,6.0,8.0,5.0,5.0,8.0,3.0,8.0,6.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,
Chandra Best,Mohammad Velazquez,4,6,6,6,2,3,2.0,1.0,2.0,4.0,1.0,3.0,1.0,6.0,2.0,5.0,2.0,2.0,8.0,4.0,5.0,7.0,6.0,7.0,8.0,7.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,8.0,6.0,5.0,8.0,7.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,7.0,8.0,,,,,,,,,,,,
Boniface Tansley,Mohammad Velazquez,1,4,3,1,2,5,4.0,4.0,3.0,4.0,1.0,2.0,3.0,7.0,3.0,2.0,4.0,1.0,8.0,4.0,2.0,5.0,2.0,8.0,5.0,6.0,5.0,7.0,4.0,1.0,6.0,4.0,8.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Cristal Jeans,Mohammad Velazquez,8,4,1,3,1,5,2.0,4.0,3.0,2.0,2.0,4.0,5.0,6.0,1.0,2.0,4.0,2.0,8.0,4.0,7.0,8.0,5.0,6.0,4.0,8.0,8.0,7.0,6.0,6.0,8.0,7.0,5.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,,,,,,,,,,,,
Urson Sibthorp,Mohammad Velazquez,4,3,1,1,3,3,4.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Bennough,Mohammad Velazquez,4,3,2,1,4,3,2.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,8.0,4.0,4.0,6.0,7.0,8.0,8.0,7.0,3.0,7.0,4.0,2.0,5.0,6.0,6.0,2.0,8.0,3.0,6.0,5.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,5.0,6.0,,,,,,,,,,,,
Payton Turbard,Mohammad Velazquez,4,2,5,2,4,2,4.0,5.0,4.0,3.0,4.0,3.0,1.0,6.0,1.0,3.0,3.0,1.0,2.0,6.0,4.0,4.0,6.0,8.0,7.0,7.0,5.0,6.0,7.0,3.0,6.0,3.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Lilly Andreasen,Mohammad Velazquez,2,4,2,2,1,7,2.0,3.0,4.0,1.0,3.0,5.0,1.0,3.0,3.0,2.0,4.0,3.0,8.0,5.0,7.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,8.0,4.0,3.0,8.0,3.0,7.0,3.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Dixie O' Flaherty,Mohammad Velazquez,3,1,2,4,2,1,2.0,2.0,7.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,6.0,2.0,8.0,3.0,4.0,8.0,7.0,7.0,6.0,6.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,2.0,7.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,,,,,,,,,,,,
Engelbert Palatino,Mohammad Velazquez,3,4,3,1,2,5,6.0,3.0,1.0,1.0,3.0,1.0,5.0,3.0,2.0,2.0,8.0,2.0,6.0,8.0,5.0,8.0,8.0,7.0,5.0,7.0,7.0,5.0,6.0,5.0,8.0,6.0,8.0,1.0,3.0,6.0,8.0,7.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Dudley Whiles,Mohammad Velazquez,3,2,2,3,2,1,3.0,1.0,3.0,2.0,1.0,3.0,6.0,2.0,2.0,4.0,4.0,3.0,8.0,6.0,7.0,8.0,6.0,4.0,8.0,7.0,6.0,3.0,2.0,4.0,6.0,6.0,8.0,3.0,8.0,4.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Tory Aireton,Macey Broughton,3,4,2,4,1,2,3.0,1.0,2.0,4.0,3.0,4.0,7.0,2.0,3.0,3.0,4.0,2.0,5.0,7.0,7.0,8.0,6.0,6.0,8.0,5.0,5.0,7.0,6.0,4.0,6.0,4.0,6.0,8.0,6.0,3.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Kelly Coneybeer,Macey Broughton,2,2,5,3,1,5,2.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,6.0,1.0,6.0,6.0,6.0,2.0,4.0,4.0,6.0,5.0,8.0,8.0,4.0,6.0,8.0,8.0,5.0,5.0,5.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,3.0,5.0,7.0,8.0,3.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0
Mic Wilshire,Macey Broughton,4,4,5,7,3,4,1.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,7.0,6.0,8.0,3.0,4.0,1.0,5.0,2.0,3.0,4.0,5.0,1.0,8.0,8.0,4.0,3.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0
Florella Boays,Macey Broughton,1,6,1,2,4,1,3.0,4.0,1.0,2.0,7.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,8.0,6.0,8.0,5.0,6.0,8.0,6.0,8.0,7.0,4.0,3.0,8.0,7.0,6.0,2.0,5.0,6.0,5.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Marshal Darycott,Macey Broughton,5,2,2,1,1,6,2.0,5.0,1.0,2.0,1.0,7.0,2.0,2.0,4.0,3.0,2.0,3.0,6.0,8.0,8.0,6.0,8.0,4.0,8.0,3.0,6.0,5.0,8.0,7.0,4.0,6.0,6.0,6.0,2.0,5.0,5.0,7.0,7.0,8.0,4.0,6.0,8.0,8.0,8.0,8.0,6.0,4.0,4.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Elva Boldero,Macey Broughton,7,2,4,1,3,5,8.0,4.0,2.0,4.0,6.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,6.0,2.0,8.0,7.0,8.0,8.0,8.0,5.0,6.0,3.0,8.0,4.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Archibold Spikeings,Macey Broughton,4,1,4,1,4,3,5.0,6.0,4.0,7.0,2.0,5.0,3.0,1.0,3.0,1.0,2.0,4.0,8.0,7.0,5.0,4.0,5.0,2.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,2.0,4.0,8.0,6.0,5.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Anatole Burston,Macey Broughton,2,4,1,2,2,5,1.0,6.0,3.0,1.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,1.0,7.0,8.0,8.0,5.0,3.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,4.0,2.0,8.0,8.0,5.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
