name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
Alikee Sawood,Gregor Gomez,2,4,4,1,3,7,1.0,3.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,3.0,8.0,6.0,7.0,8.0,4.0,5.0,7.0,8.0,7.0,8.0,4.0,4.0,3.0,2.0,7.0,6.0,5.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,4.0,8.0,4.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Guido Lassells,Gregor Gomez,4,3,6,2,3,1,1.0,3.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verena Townes,Gregor Gomez,4,3,6,2,4,4,4.0,6.0,1.0,2.0,1.0,1.0,2.0,5.0,6.0,2.0,2.0,1.0,8.0,2.0,6.0,6.0,8.0,8.0,7.0,5.0,8.0,6.0,7.0,8.0,1.0,7.0,8.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Kylie Cordell,Gregor Gomez,3,2,7,5,4,4,6.0,6.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,4.0,5.0,7.0,7.0,4.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,4.0,5.0,3.0,8.0,6.0,8.0,3.0,8.0,6.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
Cornelia Artist,Hamzah Melia,3,5,2,4,1,3,2.0,1.0,5.0,3.0,4.0,3.0,3.0,8.0,1.0,2.0,2.0,1.0,8.0,4.0,2.0,5.0,2.0,5.0,1.0,8.0,6.0,8.0,5.0,1.0,8.0,3.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
Hanni Katt,Hamzah Melia,6,1,2,1,5,7,5.0,2.0,6.0,2.0,2.0,1.0,5.0,2.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,8.0,3.0,8.0,4.0,6.0,7.0,7.0,8.0,5.0,3.0,2.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
Eric Spritt,Hamzah Melia,1,4,6,5,1,1,1.0,6.0,4.0,3.0,1.0,6.0,4.0,4.0,4.0,6.0,1.0,4.0,7.0,6.0,5.0,5.0,4.0,4.0,5.0,8.0,7.0,4.0,4.0,5.0,3.0,6.0,4.0,5.0,7.0,8.0,8.0,8.0,2.0,7.0,7.0,8.0,8.0,8.0,1.0,2.0,6.0,7.0,,,,,,,,,,,,
Merrill Mckie,Hamzah Melia,7,3,2,4,2,2,2.0,3.0,5.0,7.0,3.0,1.0,4.0,1.0,2.0,3.0,6.0,1.0,4.0,2.0,8.0,8.0,8.0,5.0,7.0,2.0,2.0,8.0,5.0,8.0,7.0,4.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,2.0,8.0,5.0,8.0,8.0,4.0,8.0,8.0,8.0,,,,,,,,,,,,
Marcela Riding,Hamzah Melia,3,4,3,2,4,3,1.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Normington,Hamzah Melia,2,1,3,4,3,1,4.0,2.0,6.0,4.0,5.0,1.0,2.0,5.0,4.0,1.0,3.0,2.0,6.0,8.0,6.0,8.0,6.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,8.0,2.0,7.0,8.0,5.0,4.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,6.0,8.0,4.0,8.0,,,,,,,,,,,,
Aguste Tann,Hamzah Melia,4,3,4,4,3,2,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,6.0,4.0,8.0,4.0,4.0,7.0,8.0,3.0,8.0,8.0,4.0,6.0,6.0,5.0,3.0,8.0,8.0,5.0,8.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,3.0,,,,,,,,,,,,
Anet Satterley,Hamzah Melia,7,1,4,2,2,3,1.0,5.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0,3.0,1.0,4.0,4.0,6.0,8.0,5.0,5.0,8.0,7.0,8.0,2.0,8.0,5.0,3.0,2.0,5.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,7.0,5.0,7.0,,,,,,,,,,,,
Agace O'Shields,Hamzah Melia,4,2,2,3,1,6,1.0,4.0,4.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,3.0,8.0,8.0,3.0,4.0,4.0,2.0,8.0,5.0,3.0,7.0,4.0,2.0,8.0,8.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
Matteo Yeowell,Burhan Milner,3,5,2,1,3,5,4.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,6.0,2.0,7.0,3.0,8.0,4.0,6.0,4.0,6.0,5.0,8.0,5.0,8.0,8.0,5.0,7.0,6.0,4.0,8.0,6.0,7.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,,,,,,,,,,,,
Deck Itzchaki,Burhan Milner,2,3,4,2,4,3,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,6.0,6.0,8.0,4.0,8.0,3.0,6.0,3.0,6.0,3.0,7.0,7.0,4.0,6.0,7.0,7.0,8.0,3.0,3.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Tarrah Bunny,Burhan Milner,3,6,3,4,3,5,1.0,1.0,3.0,6.0,3.0,2.0,6.0,1.0,4.0,3.0,5.0,3.0,6.0,8.0,6.0,3.0,7.0,8.0,7.0,6.0,6.0,2.0,8.0,4.0,6.0,5.0,5.0,7.0,4.0,2.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,,,,,,,,,,,,
Fairlie Cogzell,Burhan Milner,5,2,2,3,3,3,3.0,4.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,2.0,5.0,5.0,7.0,6.0,6.0,3.0,4.0,4.0,6.0,3.0,6.0,5.0,7.0,8.0,6.0,6.0,6.0,2.0,5.0,4.0,7.0,8.0,8.0,7.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Robinet Renwick,Burhan Milner,3,2,2,3,2,2,1.0,1.0,3.0,2.0,3.0,5.0,2.0,6.0,6.0,3.0,2.0,2.0,6.0,3.0,6.0,7.0,4.0,8.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,3.0,5.0,5.0,3.0,6.0,5.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,4.0,,,,,,,,,,,,
Boote Moan,Burhan Milner,5,4,3,6,2,4,8.0,4.0,1.0,4.0,4.0,2.0,7.0,3.0,2.0,1.0,1.0,3.0,8.0,4.0,8.0,5.0,5.0,7.0,5.0,7.0,4.0,6.0,8.0,8.0,2.0,4.0,7.0,8.0,6.0,8.0,8.0,8.0,5.0,7.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,,,,,,,,,,,,
Vaughn Wallington,Burhan Milner,1,1,2,3,1,4,6.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,7.0,4.0,6.0,4.0,8.0,7.0,5.0,4.0,5.0,2.0,8.0,3.0,4.0,3.0,8.0,3.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,,,,,,,,,,,,
Jim Dwerryhouse,Burhan Milner,5,3,4,3,4,2,1.0,1.0,5.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,7.0,8.0,4.0,7.0,5.0,4.0,7.0,7.0,8.0,3.0,8.0,8.0,7.0,7.0,4.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
Harriett Saffin,Burhan Milner,3,4,3,1,3,5,2.0,3.0,4.0,1.0,4.0,2.0,2.0,7.0,1.0,1.0,7.0,5.0,6.0,4.0,8.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,7.0,6.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,,,,,,,,,,,,
Omero Shill,Burhan Milner,4,5,2,1,4,1,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,8.0,5.0,2.0,6.0,8.0,5.0,5.0,3.0,8.0,8.0,7.0,1.0,8.0,4.0,8.0,4.0,8.0,8.0,6.0,5.0,5.0,6.0,8.0,8.0,5.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,
Casey Putten,Elly Kelly,3,1,3,4,6,5,1.0,3.0,2.0,1.0,7.0,1.0,4.0,2.0,3.0,5.0,4.0,6.0,3.0,8.0,5.0,5.0,6.0,8.0,5.0,3.0,5.0,5.0,5.0,8.0,8.0,4.0,1.0,8.0,3.0,3.0,8.0,5.0,6.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
Una Caldicot,Elly Kelly,2,3,5,2,3,4,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,6.0,6.0,4.0,8.0,2.0,6.0,2.0,5.0,8.0,8.0,7.0,7.0,5.0,5.0,4.0,6.0,5.0,2.0,8.0,8.0,8.0,7.0,8.0,5.0,8.0,7.0,5.0,7.0,8.0,7.0,7.0,,,,,,,,,,,,
Riva Mangeot,Elly Kelly,4,7,2,2,2,3,3.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,8.0,8.0,3.0,4.0,8.0,3.0,6.0,8.0,8.0,5.0,6.0,5.0,4.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,8.0,6.0,8.0,8.0,6.0,6.0,7.0,,,,,,,,,,,,
Gery Marchment,Elly Kelly,4,3,4,2,1,1,2.0,4.0,3.0,1.0,1.0,2.0,6.0,1.0,2.0,6.0,2.0,3.0,4.0,7.0,4.0,6.0,2.0,4.0,5.0,8.0,2.0,8.0,5.0,4.0,8.0,5.0,4.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
Brendan Tithecott,Elly Kelly,3,4,4,3,2,1,2.0,6.0,1.0,6.0,5.0,3.0,4.0,5.0,1.0,2.0,5.0,4.0,4.0,8.0,6.0,5.0,3.0,4.0,6.0,3.0,5.0,7.0,5.0,4.0,7.0,5.0,7.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,4.0,8.0,6.0,,,,,,,,,,,,
Dorice Slides,Elly Kelly,5,2,3,3,4,2,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalinda Leebetter,Elly Kelly,2,1,2,4,8,1,3.0,3.0,2.0,6.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,3.0,8.0,7.0,5.0,8.0,8.0,4.0,4.0,5.0,8.0,6.0,1.0,5.0,6.0,3.0,8.0,5.0,5.0,3.0,8.0,4.0,7.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,,,,,,,,,,,,
Fifi Kingsly,Elly Kelly,3,2,5,3,3,1,5.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,7.0,4.0,6.0,1.0,8.0,2.0,8.0,8.0,5.0,5.0,3.0,8.0,5.0,6.0,8.0,2.0,2.0,8.0,8.0,7.0,6.0,7.0,8.0,3.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,7.0,8.0,3.0,,,,,,,,,,,,
Zollie Danks,Elly Kelly,1,3,1,3,5,5,2.0,5.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0,3.0,6.0,6.0,5.0,5.0,4.0,5.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,4.0,7.0,4.0,8.0,8.0,8.0,8.0,6.0,4.0,8.0,8.0,6.0,7.0,8.0,,,,,,,,,,,,
Katleen Trunks,Elly Kelly,2,3,5,4,5,3,2.0,4.0,3.0,4.0,4.0,2.0,6.0,3.0,3.0,3.0,1.0,4.0,7.0,8.0,6.0,6.0,5.0,5.0,7.0,6.0,8.0,7.0,3.0,8.0,8.0,7.0,8.0,8.0,6.0,3.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Heida Cossom,Elly Kelly,1,3,2,6,1,2,1.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,2.0,8.0,3.0,2.0,3.0,8.0,8.0,5.0,8.0,4.0,4.0,5.0,8.0,8.0,6.0,7.0,7.0,5.0,8.0,8.0,7.0,8.0,4.0,8.0,8.0,8.0,7.0,8.0,,,,,,,,,,,,
Nicola Lavall,Elly Kelly,1,3,4,2,2,7,7.0,6.0,3.0,8.0,3.0,2.0,4.0,5.0,2.0,1.0,3.0,2.0,4.0,2.0,7.0,3.0,2.0,7.0,5.0,8.0,3.0,5.0,4.0,3.0,5.0,8.0,7.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,6.0,,,,,,,,,,,,
Rossie Caitlin,Bruce Lugo,1,3,2,2,3,3,3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,1.0,6.0,2.0,1.0,6.0,6.0,7.0,5.0,7.0,7.0,8.0,3.0,8.0,4.0,6.0,4.0,6.0,8.0,3.0,4.0,7.0,7.0,7.0,8.0,6.0,5.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,5.0,8.0,2.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Marmaduke Kiefer,Bruce Lugo,4,4,3,4,5,7,4.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,5.0,1.0,3.0,2.0,8.0,1.0,8.0,3.0,8.0,5.0,8.0,6.0,5.0,8.0,6.0,5.0,7.0,2.0,5.0,8.0,7.0,8.0,8.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0
Dina Mcgookin,Bruce Lugo,2,3,2,4,1,5,4.0,3.0,7.0,4.0,3.0,3.0,1.0,4.0,8.0,3.0,3.0,1.0,8.0,4.0,3.0,7.0,7.0,4.0,3.0,5.0,7.0,5.0,8.0,8.0,6.0,7.0,8.0,3.0,8.0,8.0,8.0,8.0,7.0,5.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0
Reuven Kneaphsey,Bruce Lugo,3,3,3,5,2,6,5.0,2.0,4.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,7.0,8.0,2.0,4.0,6.0,2.0,4.0,7.0,8.0,2.0,5.0,5.0,4.0,6.0,8.0,6.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,4.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0
Stephi Duckering,Bruce Lugo,3,2,2,3,2,1,4.0,4.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,8.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,8.0,7.0,6.0,2.0,5.0,5.0,8.0,6.0,7.0,3.0,8.0,4.0,7.0,6.0,7.0,7.0,5.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,6.0
Homer Sebborn,Bruce Lugo,5,3,5,2,2,1,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,7.0,4.0,4.0,8.0,5.0,1.0,8.0,8.0,7.0,2.0,3.0,5.0,6.0,6.0,3.0,4.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0
Say Kleinhausen,Bruce Lugo,1,1,5,4,1,4,8.0,3.0,2.0,3.0,8.0,1.0,6.0,5.0,4.0,1.0,2.0,3.0,4.0,8.0,4.0,5.0,7.0,6.0,4.0,3.0,4.0,7.0,1.0,8.0,8.0,4.0,5.0,3.0,6.0,6.0,4.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
Tyler Traynor,Bruce Lugo,1,3,1,2,1,4,1.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,1.0,5.0,4.0,8.0,6.0,8.0,3.0,8.0,6.0,5.0,2.0,6.0,8.0,5.0,3.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,6.0,8.0
Johnath Tufts,Bruce Lugo,3,4,3,2,4,1,4.0,5.0,4.0,5.0,1.0,3.0,3.0,6.0,1.0,3.0,2.0,6.0,7.0,3.0,3.0,7.0,8.0,8.0,6.0,3.0,5.0,7.0,3.0,8.0,5.0,6.0,7.0,8.0,6.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0
Kristin Bardill,Bruce Lugo,3,4,1,2,5,3,4.0,1.0,4.0,1.0,6.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,6.0,1.0,8.0,4.0,8.0,2.0,7.0,2.0,8.0,5.0,6.0,4.0,4.0,8.0,5.0,6.0,5.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,4.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0
Timmie Knudsen,Ely Kely,2,2,2,5,1,2,1.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,8.0,5.0,8.0,5.0,4.0,8.0,8.0,6.0,8.0,5.0,7.0,7.0,7.0,6.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Mona Orviss,Ely Kely,6,4,3,1,3,1,3.0,5.0,5.0,3.0,6.0,2.0,1.0,1.0,3.0,8.0,2.0,4.0,5.0,3.0,7.0,4.0,4.0,6.0,4.0,3.0,7.0,8.0,8.0,4.0,2.0,3.0,5.0,4.0,4.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0
Everett O'Clery,Ely Kely,2,6,2,4,2,4,3.0,4.0,5.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,8.0,8.0,5.0,7.0,6.0,7.0,7.0,4.0,5.0,8.0,7.0,5.0,4.0,4.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,6.0,5.0,6.0,8.0,8.0,7.0,6.0,6.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
Konstanze Trynor,Ely Kely,2,2,1,1,3,4,8.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0,8.0,6.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Robinett Mcphate,Ely Kely,1,6,1,5,1,2,2.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,7.0,8.0,8.0,7.0,5.0,6.0,3.0,4.0,7.0,8.0,8.0,4.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,8.0,8.0,5.0,5.0
Ronda Aggis,Ely Kely,1,5,2,4,3,6,6.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,8.0,1.0,6.0,4.0,5.0,8.0,3.0,8.0,5.0,8.0,5.0,2.0,5.0,5.0,7.0,6.0,2.0,8.0,6.0,8.0,8.0,6.0,8.0,5.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Caril Bayly,Ely Kely,3,3,1,2,1,3,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,3.0,4.0,3.0,5.0,7.0,7.0,8.0,7.0,5.0,5.0,3.0,5.0,6.0,6.0,6.0,2.0,5.0,3.0,4.0,5.0,4.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Mari Lotterington,Ely Kely,4,1,2,5,3,2,4.0,1.0,5.0,6.0,2.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,7.0,7.0,6.0,4.0,5.0,6.0,6.0,8.0,4.0,7.0,7.0,7.0,8.0,5.0,8.0,3.0,6.0,4.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Jacquelynn Savin,Ely Kely,1,2,5,5,1,2,3.0,3.0,3.0,3.0,7.0,6.0,5.0,2.0,2.0,6.0,2.0,5.0,8.0,5.0,5.0,3.0,8.0,8.0,5.0,7.0,4.0,4.0,8.0,6.0,7.0,8.0,8.0,5.0,6.0,4.0,8.0,8.0,8.0,8.0,6.0,4.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Ives Weddell,Ely Kely,4,2,2,2,1,4,3.0,3.0,1.0,2.0,5.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,8.0,8.0,8.0,4.0,7.0,7.0,4.0,7.0,6.0,4.0,3.0,8.0,6.0,7.0,4.0,1.0,6.0,3.0,5.0,8.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,4.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
Gerda Yuille,Ely Kely,3,4,2,2,3,4,5.0,5.0,5.0,5.0,2.0,3.0,6.0,2.0,1.0,6.0,4.0,5.0,6.0,6.0,8.0,5.0,3.0,2.0,6.0,3.0,8.0,7.0,4.0,7.0,7.0,8.0,4.0,3.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,4.0,8.0,6.0,8.0,7.0,5.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
Pyotr De Zuani,Trixie Orange,1,3,4,2,2,2,3.0,1.0,3.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Scott,Trixie Orange,1,1,4,3,3,4,3.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,8.0,5.0,7.0,6.0,5.0,4.0,3.0,8.0,7.0,8.0,7.0,8.0,5.0,8.0,7.0,1.0,6.0,4.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Kellie Althorp,Trixie Orange,3,4,1,1,5,2,2.0,3.0,2.0,6.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,7.0,5.0,1.0,4.0,2.0,4.0,8.0,6.0,8.0,5.0,5.0,7.0,7.0,8.0,5.0,7.0,6.0,4.0,4.0,8.0,6.0,6.0,8.0,5.0,8.0,3.0,7.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
Aida Bothams,Trixie Orange,4,2,2,3,3,1,7.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,7.0,8.0,8.0,4.0,7.0,2.0,6.0,4.0,7.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
Nettie Civitillo,Trixie Orange,5,4,3,1,1,6,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,8.0,5.0,2.0,8.0,5.0,4.0,5.0,8.0,6.0,7.0,5.0,4.0,3.0,2.0,5.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,,,,,,,,,,,,
Bernadette Gerardi,Trixie Orange,6,1,3,2,2,3,2.0,5.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0,2.0,5.0,8.0,8.0,5.0,5.0,7.0,8.0,8.0,7.0,8.0,3.0,8.0,1.0,8.0,5.0,8.0,8.0,2.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
